	Basic Conversation	
GREETING_INFORMAL	Hello	Kamusta
GREETING_MORNING	good morning	Magandang araw
GREETING_EVENING	good evening	Magandang gabi
GREETING_DEPARTURE	goodbye	Paalam
SORRY	sorry / excuse me 	Pasensya
PLEASE	please	Pakiusap
THANKS	thank you / thanks	(Maraming) Salamat
REPLY_THANKS	you're welcome [response to thank you / thanks]	
GIVE_OWN_NAME	my name is...	Ako si...
ASK_OTHERS_NAME	What is your name?	Ano ang pangalan mo?
GIVE_OWN_PROVENANCE	I’m from...	Galing ako sa...
FAMILY	family	Pamilya
PRESENT_HUSBAND	this is my husband	Siya ang asawa ko
WIFE	my wife	Asawa ko
CHILDREN	my children	Mga anak ko
DAUGHTER	my daughter	Anak kong babae
SON	my son	Anak kong lalake
BABY	my baby	Anak kong sanggol
BROTHER	this is my brother	Siya ang kapatid ko
SISTER	this is my sister	Siya ang kapatid ko
FATHER	this is my father	Siya ang aking ama
MOTHER	this is my mother 	Siya ang aking ina
SUFFER_HUNGER	I’m hungry.	Nagugutom ako
CHILD_HUNGRY	(My child) is hungry	Gutom ang anak ko/Nagugutom na ang anak ko
SUFFER_THIRST	I’m thirsty	Nauuhaw ako
WATER	water	tubig
AVAILABLE_Q	Do you have...	May... ka ba?
LOCATION_Q	Where is..?	Saan ang...?
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	Nasaan ang banyo / CR?
NEED_SHOWER	I need to take a shower	Kailangan ko maligo
SHOWER_LOCATION_Q	Where can I take a shower?	Saan ako pwedeng maligo?
SANITARYPAD	sanitary pad / towel	Napkin
DIAPER	diaper / nappy	"diaper" (pronounced as in English)
NEED_MAKE_PHONECALL	I need to make a phone call	Kailangan kong tumawag
PRAY_LOCATION_Q	Where can I pray?	Saan ako p(u)wedeng magdasal?
PURCHASE_X_LOCATION_Q	Where can I buy_____?	Saan ako p(u)wedeng bumili ng...?
LOCATION_X_Q	Where can I find____?	Saan ako p(u)wedeng makahanap ng...?
TIME_CLOCK_Q	What time is it?	Anong oras na?
NEED_SLEEP	I (we) need to sleep	Kailangan kong/nating matulog
SUBWAY_LOCATION_Q	Where is the subway/underground?	Nasaan ang metro/subway?
NO_MONEY	I don’t have any money.	Wala akong pera
SPEAK_X_Q	Do you speak...	Nakakapagsalita ka ba ng...?/Marunong ka bang mag...?
SPEAK_LITTLE_X	I don't speak (English) very well.	Hindi ako nakakapagsalita ng Filipino (Tagalog)
WRITE_DOWN_X_REQUEST	Can you write that down for me?	P(u)wede mo bang isulat?
NO_UNDERSTAND	I don’t understand	Hindi ko maintindihan
HELP_REQUEST	Help! / Please help me!	Tulong / Saklolo
IGNORANCE	I don’t know	Hindi ko alam
EVENT_Q	What happened?	Ano ang nangyari?
SUFFER_FREEZING	I am cold/ freezing	Nalalamigan ako
EXPERIENCE_HAPPINESS	I’m happy.	Masaya ako
SUFFER_FEAR	I’m scared.	Natatakot ako/Takot ako
SUFFER_SADNESS	I’m sad.	Malungkot ako
EXPERIENCE_LIKING_ADDRESSEE	I like you.	Gusto kita
DONT_WORRY	Don’t worry	Huwag kang magalala
NEED_APPOINTMENT	I would like an appointment.	Nais kong makipag-usap/makipag-ugnayan sa (name of office or bureau)                                 /                                   Nais kong makipag-usap/makipag-ugnayan kay (person's name)
ROOM_NUMBER_N_LOCATION_Q	Where is room number ____?	Nasaan ang silid bilang _?          /           Nasaan ang room # _?
REGISTRATION_CENTRE_LOCATION_Q	Where is the registration centre?	Saan ang registration centre?
MUST_WAIT	You have to wait	Kailangan mong maghintay
WAITING_TIME_DURATION_Q	How long do we have to wait here?	Gaano kami katagal maghihintay?
1_DAY	one day	Isang araw
1_HOUR	one hour	Isang oras
1_MONTH	one month	Isang buwan
VERYSOON	very soon	Sa lalong madaling panahon
TOMORROW	tomorrow	bukas
DAY_AFTER_TOMORROW	the day after tomorrow	sa makalawa
NEXT_WEEK	next week	sa susunod na linggo
RETURN_SOON	I will be back soon	Babalik din ako kaagad
ONE	one	isa
TWO	two	dalawa
THREE	three	tatlo
FOUR	four	apat
FIVE	five	lima
SIX	six	anim
SEVEN	seven	pito
EIGHT	eight	walo
NINE	nine	siyam
TEN	ten	sampu
MONDAY	Monday	Lunes
TUESDAY	 Tuesday	 Martes
WEDNESDAY	 Wednesday	 Miyerkules
THURSDAY	 Thursday	 Huwebes
FRIDAY	 Friday	 Biyernes
SATURDAY	 Saturday	 Sabado
SUNDAY	 Sunday	 Linggo 
JANUARY	January	Enero
FEBRUARY	 February	 Pebrero
MARCH	 March	 Marso
APRIL	 April	 Abril
MAY	 May	 Mayo
JUNE	 June	Hunyo
JULY	 July	 Hulyo
AUGUST	 August	 Agosto
SEPTEMBER	 September	 Setyembre
OCTOBER	 October	 Oktubre
NOVEMBER	 November	 Nobyembre
DECEMBER	 December	 Disyembre
	Medical Terms	Mga terminolohiyang medikal/pangkalusugan
NEED_DOCTOR	I need a doctor	Kailangan ko ng doktor
SUFFER_ICD10_R11	I feel sick/ I don't feel well 	Masama ang pakiramdam ko
EXPERIENCE_ILLNESS	I’m ill / I’m sick	May sakit ako
CHILD_ILL	(My child) is sick	May sakit ang anak ko
PREGNANT	I am pregnant	Buntis ako
SUFFER_ICD10_T78.4	I am having an allergic reaction	May allergy ako
