	Basic Conversation	Yleiskeskustelu
GREETING_INFORMAL	Hello	Hei
GREETING_MORNING	good morning	Hyvää huomenta
GREETING_EVENING	good evening	Hyvää iltaa
GREETING_DEPARTURE	goodbye	Näkemiin
SORRY	sorry / excuse me 	Anteeksi
PLEASE	please	-
THANKS	thank you / thanks	Kiitos
REPLY_THANKS	you're welcome [response to thank you / thanks]	Olkaa hyvä
GIVE_OWN_NAME	my name is...	Minun nimeni on...
ASK_OTHERS_NAME	What is your name?	Mikä teidän nimenne on?
GIVE_OWN_PROVENANCE	I’m from...	Olen kotoisin ....sta.
FAMILY	family	perhe
PRESENT_HUSBAND	this is my husband	Tässä on mieheni.
WIFE	my wife	vaimoni
CHILDREN	my children	lapseni
DAUGHTER	my daughter	tyttäreni
SON	my son	poikani
BABY	my baby	vauvani
BROTHER	this is my brother	(Tässä on) veljeni.
SISTER	this is my sister	(Tässä on) siskoni.
FATHER	this is my father	(Tässä on) isäni.
MOTHER	this is my mother 	(Tässä on) äitini.
SUFFER_HUNGER	I’m hungry.	Minulla on nälkä.
CHILD_HUNGRY	(My child) is hungry	(Lapsellani) on nälkä.
SUFFER_THIRST	I’m thirsty	Minulla on jano.
WATER	water	vesi
AVAILABLE_Q	Do you have...	Onko teillä...?
LOCATION_Q	Where is..?	Missä on...?
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	Missä on vessa? / Missä on kylpyhuone?
NEED_SHOWER	I need to take a shower	Minun täytyy käydä suihkussa.
SHOWER_LOCATION_Q	Where can I take a shower?	Missä voinkäydä suihkussa?
SANITARYPAD	sanitary pad / towel	terveysside
DIAPER	diaper / nappy	vaippa
NEED_MAKE_PHONECALL	I need to make a phone call	Minun täytyy soittaa puhelu.
PRAY_LOCATION_Q	Where can I pray?	Missä voin rukoilla?
PURCHASE_X_LOCATION_Q	Where can I buy_____?	Mistä voin ostaa...?
LOCATION_X_Q	Where can I find____?	Mistä löydän...?
TIME_CLOCK_Q	What time is it?	Mitä kello on?
NEED_SLEEP	I (we) need to sleep	Minun täytyy nukkua /Meidän täytyy nukkua.
SUBWAY_LOCATION_Q	Where is the subway/underground?	Missä on metro?
NO_MONEY	I don’t have any money.	Minulla ei ole yhtään rahaa.
SPEAK_X_Q	Do you speak...	Puhutteko...?
SPEAK_LITTLE_X	I don't speak (English) very well.	En puhu suomea (hyvin).
WRITE_DOWN_X_REQUEST	Can you write that down for me?	Voisitteko kirjoittaa sen?
NO_UNDERSTAND	I don’t understand	En ymmärrä.
HELP_REQUEST	Help! / Please help me!	Apua!Auttakaa minua!
