	Basic Conversation	Conversation de base
GREETING_INFORMAL	Hello	salut
GREETING_MORNING	good morning	bonjour
GREETING_EVENING	good evening	bonsoir
GREETING_DEPARTURE	goodbye	au revoir
SORRY	sorry / excuse me 	pardon / excusez-moi 
PLEASE	please	s'il vous plaît
THANKS	thank you / thanks	merci
REPLY_THANKS	you're welcome [response to thank you / thanks]	de rien
GIVE_OWN_NAME	my name is...	je m'appelle...
ASK_OTHERS_NAME	What is your name?	Comment vous appelez-vous?
GIVE_OWN_PROVENANCE	I’m from...	Je viens de...
FAMILY	family	La famille
PRESENT_HUSBAND	this is my husband	C'est mon mari
WIFE	my wife	(ma) Femme
CHILDREN	my children	mes enfants [pl.] / (mon enfant [sing])
DAUGHTER	my daughter	ma fille
SON	my son	mon fils
BABY	my baby	mon bébé
BROTHER	this is my brother	(c'est mon) frère
SISTER	this is my sister	(c'est ma) soeur
FATHER	this is my father	c'est mon père
MOTHER	this is my mother 	c'est ma mère
SUFFER_HUNGER	I’m hungry.	J'ai faim.
CHILD_HUNGRY	(My child) is hungry	Mon enfant a faim
SUFFER_THIRST	I’m thirsty	j'ai soif.
WATER	water	l'eau
AVAILABLE_Q	Do you have...	Avez-vous...?
LOCATION_Q	Where is..?	Où est…
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	Où sont les toilettes? /Où est la salle de bain?
NEED_SHOWER	I need to take a shower	J'ai besoin de prendre une douche.
SHOWER_LOCATION_Q	Where can I take a shower?	Où puis-je prendre une douche? 
SANITARYPAD	sanitary pad / towel	(la) serviette hygiénique
DIAPER	diaper / nappy	(la) couche / (la) couche-culotte
NEED_MAKE_PHONECALL	I need to make a phone call	je dois téléphoner.
PRAY_LOCATION_Q	Where can I pray?	où puis-je prier?
PURCHASE_X_LOCATION_Q	Where can I buy_____?	où puis-je acheter...?
LOCATION_X_Q	Where can I find____?	où puis-je trouver...?
TIME_CLOCK_Q	What time is it?	Quelle heure est-il?
NEED_SLEEP	I (we) need to sleep	J'ai besoin de dormir. / Nous avons besoin de dormir.
SUBWAY_LOCATION_Q	Where is the subway/underground?	Où est le métro?
NO_MONEY	I don’t have any money.	Je n'ai pas d'argent.
SPEAK_X_Q	Do you speak...	Parlez-vous...?
SPEAK_LITTLE_X	I don't speak (English) very well.	Je ne parle pas très bien (le français)
