	Basic Conversation		Grundlagen
GREETING_INFORMAL	Hello	halo	Hallo
GREETING_MORNING	good morning	gu:t@n mORg@n	guten Morgen
GREETING_EVENING	good evening	gu:t@n ?a:bent	guten Abend
GREETING_DEPARTURE	goodbye	 aUf  vi:d6ze:@n 	auf Wiedersehen
SORRY	sorry / excuse me 	 EntSUldIgUN 	Entschuldigung
PLEASE	please	bIt@	bitte
THANKS	thank you / thanks	daNk@	danke
REPLY_THANKS	you're welcome [response to thank you / thanks]	gERn  g@Se:@n 	gern geschehen
GIVE_OWN_NAME	my name is...	 IC  haIs@ 	ich heiße...
ASK_OTHERS_NAME	What is your name?	vi:  haIs@n  zi: 	Wie heißen Sie?
GIVE_OWN_PROVENANCE	I’m from...	 IC  kOm@   aUs 	Ich komme aus...
FAMILY	family	di:  fami:li:@ 	(die) Familie
PRESENT_HUSBAND	this is my husband	das   Ist  maIn  man 	das ist mein Mann
WIFE	my wife	maIn@  fRaU 	(meine) Frau
CHILDREN	my children	maIn@  kInd6 	(meine) Kinder
DAUGHTER	my daughter	maIn@  tOxt6 	(meine) Tochter
SON	my son	maIn  zo:n 	(mein) Sohn
BABY	my baby	be:bi: 	(mein) Baby
BROTHER	this is my brother	bRu:d6 	(das ist mein) Bruder
SISTER	this is my sister	SvEst6 	(das ist meine) Schwester
FATHER	this is my father	fa:t6 	(das ist mein) Vater
MOTHER	this is my mother 	mUt6 	(das ist meine) Mutter
SUFFER_HUNGER	I’m hungry.	 IC  ha:b@  hUN6 	Ich habe Hunger.
CHILD_HUNGRY	(My child) is hungry	vi:  haIs@n  zi: 	(mein Kind) hat Hunger
SUFFER_THIRST	I’m thirsty	 IC  ha:b@  dURst 	Ich habe Durst.
WATER	water	vas6 	Wasser
AVAILABLE_Q	Do you have...	ha:b@n  zi: 	Haben Sie...
LOCATION_Q	Where is..?	vo:   Ist 	Wo ist...
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	vo:   Ist  di:  to:alEt@ 	Wo ist die Toilette?  
NEED_SHOWER	I need to take a shower	 IC  bRaUx@   aIn@  du:S@ 	Ich brauche eine Dusche
SHOWER_LOCATION_Q	Where can I take a shower?	 IC  bRaUx@   aIn@  du:S@ 	Wo kann ich duschen?
SANITARYPAD	sanitary pad / towel	da:m@nbInd@ 	(die) Damenbinde
DIAPER	diaper / nappy	vInd@l 	(die) Windel
NEED_MAKE_PHONECALL	I need to make a phone call	 IC  mUs  te:le:fo:ni:R@n 	Ich muss  telefonieren
PRAY_LOCATION_Q	Where can I pray?	vo:  kan   IC  be:t@n 	Wo kann ich beten?
PURCHASE_X_LOCATION_Q	Where can I buy_____?	vo:  kan   IC  ___ kaUf@n 	Wo kann ich _____ kaufen?
LOCATION_X_Q	Where can I find____?	vo:  kan   IC  ___ fInd@n 	Wo kann ich _____ finden?
