	Basic Conversation	Társalgás
GREETING_INFORMAL	Hello	Helló
GREETING_MORNING	good morning	Jó napot kívánok
GREETING_EVENING	good evening	Jó estét
GREETING_DEPARTURE	goodbye	Viszontlátásra
SORRY	sorry / excuse me 	Elnézést
PLEASE	please	Kérem
THANKS	thank you / thanks	Köszönöm
REPLY_THANKS	you're welcome [response to thank you / thanks]	szívesen
GIVE_OWN_NAME	my name is...	...vagyok
ASK_OTHERS_NAME	What is your name?	Mi az ön neve?
GIVE_OWN_PROVENANCE	I’m from...	…-ból jövök
FAMILY	family	család
PRESENT_HUSBAND	this is my husband	Ez a férjem
WIFE	my wife	a feleségem
CHILDREN	my children	a gyerekeim
DAUGHTER	my daughter	a lányom
SON	my son	a fiam
BABY	my baby	a kisbabám
BROTHER	this is my brother	Ez a testvérem
SISTER	this is my sister	Ez a testvérem
FATHER	this is my father	Ô az apam
MOTHER	this is my mother 	Ô az anyám
SUFFER_HUNGER	I’m hungry.	Éhes vagyok
CHILD_HUNGRY	(My child) is hungry	A gyerekem éhes
SUFFER_THIRST	I’m thirsty	Szomjas vagyok
WATER	water	víz
AVAILABLE_Q	Do you have...	Van önnek...
LOCATION_Q	Where is..?	Hol van...
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	Hol van a WC / fürdőszoba?
NEED_SHOWER	I need to take a shower	Zuhanyozni szeretnék
SHOWER_LOCATION_Q	Where can I take a shower?	Hol lehet zuhanyozni?
SANITARYPAD	sanitary pad / towel	Intim betét
DIAPER	diaper / nappy	Pelenka
NEED_MAKE_PHONECALL	I need to make a phone call	Szeretnék telefonalni
PRAY_LOCATION_Q	Where can I pray?	Hol lehet imádkozni
PURCHASE_X_LOCATION_Q	Where can I buy_____?	Hol vásárolhatok _____?
LOCATION_X_Q	Where can I find____?	Hol találok….?
TIME_CLOCK_Q	What time is it?	Mennyi az idő?
NEED_SLEEP	I (we) need to sleep	Aludni szeretnénk
SUBWAY_LOCATION_Q	Where is the subway/underground?	Hol van a metró?
NO_MONEY	I don’t have any money.	Nincs pénzem
SPEAK_X_Q	Do you speak...	Beszél ön...
SPEAK_LITTLE_X	I don't speak (English) very well.	Nem tudok (jól) magyarul
WRITE_DOWN_X_REQUEST	Can you write that down for me?	Le tudja nekem írni?
NO_UNDERSTAND	I don’t understand	Nem értem
HELP_REQUEST	Help! / Please help me!	Segítség
IGNORANCE	I don’t know	Nem tudom
EVENT_Q	What happened?	Mi történt?
SUFFER_FREEZING	I am cold/ freezing	Fázom
EXPERIENCE_HAPPINESS	I’m happy.	Elégedett/ boldog vagyok
SUFFER_FEAR	I’m scared.	Félek
SUFFER_SADNESS	I’m sad.	Szomorú vagyok
EXPERIENCE_LIKING_ADDRESSEE	I like you.	Kedvellek
DONT_WORRY	Don’t worry	Ne aggodjon
NEED_APPOINTMENT	I would like an appointment.	Szeretnék egy időpontot kérni
ROOM_NUMBER_N_LOCATION_Q	Where is room number ____?	Hol van a ...-es szoba?
REGISTRATION_CENTRE_LOCATION_Q	Where is the registration centre?	Hol van a Regisztrációs Központ?
MUST_WAIT	You have to wait	Kérem várjon
WAITING_TIME_DURATION_Q	How long do we have to wait here?	Meddig kell itt várnunk?
1_DAY	one day	Egy napot.
1_HOUR	one hour	Egy órát.
1_MONTH	one month	Egy hónapot.
VERYSOON	very soon	Hamarosan
TOMORROW	tomorrow	Holnap
DAY_AFTER_TOMORROW	the day after tomorrow	Holnapután
NEXT_WEEK	next week	Jövő héten
RETURN_SOON	I will be back soon	Hamarosan visszajövök.
ONE	one	egy
TWO	two	kettő
THREE	three	három
FOUR	four	négy
FIVE	five	öt
SIX	six	hat
SEVEN	seven	hét
EIGHT	eight	nyolc
NINE	nine	kilenc
TEN	ten	tíz
MONDAY	Monday	hétfő
TUESDAY	 Tuesday	 kedd
WEDNESDAY	 Wednesday	 szerda
THURSDAY	 Thursday	 csütörtök
