	Basic Conversation	
GREETING_INFORMAL	Hello	Merheba
GREETING_MORNING	good morning	Roj baş
GREETING_EVENING	good evening	Êvar baş
GREETING_DEPARTURE	goodbye	Bi xatirê te/ Oxir be
SORRY	sorry / excuse me 	Bibore
PLEASE	please	Ji kerema xwe re/ Kerem ke
THANKS	thank you / thanks	Spas
REPLY_THANKS	you're welcome [response to thank you / thanks]	ser çavan
GIVE_OWN_NAME	my name is...	Navê min …(y)e.
ASK_OTHERS_NAME	What is your name?	Navê te çi ye?
GIVE_OWN_PROVENANCE	I’m from...	Ez ji ...me.
FAMILY	family	malbat
PRESENT_HUSBAND	this is my husband	Ev mêrê min e.
WIFE	my wife	Jina min
CHILDREN	my children	Zarokên min
DAUGHTER	my daughter	Keça min
SON	my son	Lawê min
BABY	my baby	Pitika min
BROTHER	this is my brother	Ev birayê min e.
SISTER	this is my sister	Ev xwişka min e.
FATHER	this is my father	Ev bavê min e.
MOTHER	this is my mother 	Ev diya min e.
SUFFER_HUNGER	I’m hungry.	Ez birçî me
CHILD_HUNGRY	(My child) is hungry	(Zarokê min) birçî ye
SUFFER_THIRST	I’m thirsty	Ez tî me
WATER	water	av
AVAILABLE_Q	Do you have...	...te heye?
LOCATION_Q	Where is..?	...li kuderê ye?
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	Tûwalet/ serşok li ku derê ye?
NEED_SHOWER	I need to take a shower	Divê ez serê xwe bişom
SHOWER_LOCATION_Q	Where can I take a shower?	Li ku derê ez dikarim serê xwe bişom?
SANITARYPAD	sanitary pad / towel	Ped
DIAPER	diaper / nappy	Cilik
NEED_MAKE_PHONECALL	I need to make a phone call	Divê ez telefon bikim
PRAY_LOCATION_Q	Where can I pray?	Li ku derê ez dikarim nimêj bikim
PURCHASE_X_LOCATION_Q	Where can I buy_____?	Ez dikarim li ku derê ...bistînim?
LOCATION_X_Q	Where can I find____?	Ez dikarim li ku derê...bibînim?
TIME_CLOCK_Q	What time is it?	Saet çend e?
NEED_SLEEP	I (we) need to sleep	Divê ez razim
SUBWAY_LOCATION_Q	Where is the subway/underground?	Metro li kû ye?
NO_MONEY	I don’t have any money.	Perê min tune ye.
SPEAK_X_Q	Do you speak...	Gelo tu ….diaxivî?
SPEAK_LITTLE_X	I don't speak (English) very well.	Ez Elmanî (baş) nizanim.
WRITE_DOWN_X_REQUEST	Can you write that down for me?	Gelo tu dikarî vê binivîsi?
NO_UNDERSTAND	I don’t understand	Ez vê fêm nakim
HELP_REQUEST	Help! / Please help me!	Hewara!/Ji kerema xwe alîkarîya min bike
IGNORANCE	I don’t know	Ez nizanim.
EVENT_Q	What happened?	Çi bû?
SUFFER_FREEZING	I am cold/ freezing	Min sar e.
EXPERIENCE_HAPPINESS	I’m happy.	Ez keyfxweş im.
SUFFER_FEAR	I’m scared.	Ez ditirsim.
SUFFER_SADNESS	I’m sad.	Ez xemgîn im.
EXPERIENCE_LIKING_ADDRESSEE	I like you.	Kêfa min ji te re tê.
