	Basic Conversation	
GREETING_INFORMAL	Hello	سڵاو
GREETING_MORNING	good morning	به‌یانی و باش
GREETING_EVENING	good evening	ئێواره‌ت باش
GREETING_DEPARTURE	goodbye	خواحافیز
SORRY	sorry / excuse me 	ببوره‌
PLEASE	please	ببوره‌
THANKS	thank you / thanks	سوپاس
REPLY_THANKS	you're welcome [response to thank you / thanks]	
GIVE_OWN_NAME	my name is...	ناوم
ASK_OTHERS_NAME	What is your name?	ناوت چیه ؟
GIVE_OWN_PROVENANCE	I’m from...	من خه‌ڵکی
FAMILY	family	خیزان
PRESENT_HUSBAND	this is my husband	مێرده‌که‌م
WIFE	my wife	هاوسه‌ره‌که‌م
CHILDREN	my children	مناڵه‌کانم
DAUGHTER	my daughter	کچه‌که‌م
SON	my son	کوڕه‌که‌م
BABY	my baby	مناڵه‌که‌م
BROTHER	this is my brother	ئه وه برامه
SISTER	this is my sister	اوه خوشکمه
FATHER	this is my father	ئه وه باوكمه
MOTHER	this is my mother 	ئه وه دايكمه
SUFFER_HUNGER	I’m hungry.	برسیمه‌
CHILD_HUNGRY	(My child) is hungry	منداله که م برسیه تی
SUFFER_THIRST	I’m thirsty	تینوومه
WATER	water	
AVAILABLE_Q	Do you have...	...... هه ته ؟
LOCATION_Q	Where is..?	.........له کوییه?
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	توالیت له کوییه؟
NEED_SHOWER	I need to take a shower	پیویسته حه مامیک بکه م
SHOWER_LOCATION_Q	Where can I take a shower?	له کوی ده توانم خؤم بشؤم 
SANITARYPAD	sanitary pad / towel	سانتی                 
DIAPER	diaper / nappy	دايبي 
NEED_MAKE_PHONECALL	I need to make a phone call	پیویسته ته له فونیک بکه م
PRAY_LOCATION_Q	Where can I pray?	 له کوی ده توانم نویز بکه م؟
PURCHASE_X_LOCATION_Q	Where can I buy_____?	له کوی ده توانم ......بکرم؟
LOCATION_X_Q	Where can I find____?	له کوی ......بدؤزمه وه؟
TIME_CLOCK_Q	What time is it?	سه عات چه نده ؟
NEED_SLEEP	I (we) need to sleep	من, ئيمه, پیویسته بنووین
SUBWAY_LOCATION_Q	Where is the subway/underground?	سه بوه ی  له کوییه؟
NO_MONEY	I don’t have any money.	هیچ پاره م پی نیه
SPEAK_X_Q	Do you speak...	تو ده زانی قسه بکه ی به .....؟
SPEAK_LITTLE_X	I don't speak (English) very well.	 من زمانی المانی به باشی نازانم قسه ی پیبکه م
WRITE_DOWN_X_REQUEST	Can you write that down for me?	ده توانی اوه م بو بنوسي؟
NO_UNDERSTAND	I don’t understand	تیناگه م
HELP_REQUEST	Help! / Please help me!	یارمه تی.. تکایه یارمه تیم بده ن
IGNORANCE	I don’t know	من نازانم
EVENT_Q	What happened?	چی رویدا؟
SUFFER_FREEZING	I am cold/ freezing	من سه رمامه ره ق بوومه وه
EXPERIENCE_HAPPINESS	I’m happy.	من دل خوشم 
SUFFER_FEAR	I’m scared.	من ترساوم
SUFFER_SADNESS	I’m sad.	من دلته نگم
EXPERIENCE_LIKING_ADDRESSEE	I like you.	که یفم پیتدیت / توم به دله
DONT_WORRY	Don’t worry	نيگه ران مه به
NEED_APPOINTMENT	I would like an appointment.	ده مه وى مؤعيده ك وه رگرم
ROOM_NUMBER_N_LOCATION_Q	Where is room number ____?	زوری زماره ...له کویه؟
REGISTRATION_CENTRE_LOCATION_Q	Where is the registration centre?	سه نته ری ناو ته سجیل کردن له کویه؟
MUST_WAIT	You have to wait	پیویسته چاوه ریبکه یت
WAITING_TIME_DURATION_Q	How long do we have to wait here?	پیویسته بؤ ماوه ى چه ند لیره چاوه ریبکه ین
1_DAY	one day	یه ک رؤز
1_HOUR	one hour	یه ک سه عات
1_MONTH	one month	
VERYSOON	very soon	به زووترين كات
TOMORROW	tomorrow	
DAY_AFTER_TOMORROW	the day after tomorrow	
NEXT_WEEK	next week	
RETURN_SOON	I will be back soon	زوو ده گریمه وه لات
ONE	one	یه ک 
TWO	two	دوو 
THREE	three	سئ 
FOUR	four	چوار 
FIVE	five	پینج 
SIX	six	شه ش 
SEVEN	seven	حه وت 
EIGHT	eight	هه شت 
NINE	nine	نؤ 
TEN	ten	ده 
MONDAY	Monday	
TUESDAY	 Tuesday	
WEDNESDAY	 Wednesday	
THURSDAY	 Thursday	
FRIDAY	 Friday	
SATURDAY	 Saturday	
SUNDAY	 Sunday	
JANUARY	January	
FEBRUARY	 February	
MARCH	 March	
APRIL	 April	
MAY	 May	
JUNE	 June	
JULY	 July	
AUGUST	 August	
SEPTEMBER	 September	
OCTOBER	 October	
NOVEMBER	 November	
DECEMBER	 December	
	Medical Terms	
NEED_DOCTOR	I need a doctor	پیویستم به دکتوره
SUFFER_ICD10_R11	I feel sick/ I don't feel well 	
EXPERIENCE_ILLNESS	I’m ill / I’m sick	ناساغم
CHILD_ILL	(My child) is sick	منداله که م نه خوشه
PREGNANT	I am pregnant	من حامیله م 
SUFFER_ICD10_T78.4	I am having an allergic reaction	
SUFFER_ICD10_H81	I feel dizzy.	
SUFFER_ICD10_E10	I am diabetic	
NEED_INSULIN	I need insulin	
SUFFERED_RAPE	I was raped.	
SUFFER_ICD10_R10	I have a stomach ache.	سکم دیشیت
SUFFER_ICD10_R50	I have a fever / a temperature	من تام هه یه
SUFFER_ICD10_R51	I have a headache	سه رهیشه م  هه یه
SUFFER_ICD10_R05	I have a cough.	كؤخه م هه يه
CHILD_SUFFER_ICD10_R7.0	My child has a sore throat/ cough	منداله كه م كؤخه و قورگ هیشه ی هه يه
FLU	cold	سه رما
DIARRHEA	diarrhea	سکچوون
ICD10_K59.0	constipation	قه بزی
ICD10_B73.3	vaginal yeast infection (thrush)	ئيلتيهابى زنانه, بورى ميزلدان
ICD10_B53.3	athlete's foot	
ICD10_B85	head lice	
		
	Food	
MEAL_NOON	Lunch	
MEAL_EVENING	Dinner	
FOOD_HALAL_Q	Is this food Halal?	ئایا ئه‌م خواردنه‌ حه‌ڵاله‌؟
ALLERGY_AGAINST_X	I am allergic to….	من حه ساسیه م هه یه به ......
PORK_MEAT	pork	
POULTRY_MEAT	poultry	
NO_EAT_PORK	I do not eat pork	
SELF_VEGETARIAN	I am a vegetarian.I don’t eat meat and fish.	من سه وزه خؤرم گؤشت و ماسى ناخؤم
SELF_VEGAN	I am a vegan	من سه وزه خؤرم
FISH	fish	
BREAD	bread	 نان
WATER	water	ئاو
LEMONADE	lemonade	
MILK	milk	شير
COFFEE	coffee	
TEA	tea	
BEER	beer	
FRUITS	fruit	
APPLE	apple	
PEAR	pear	
GRAPEFRUIT	grapefruit	
APRICOT	apricot	
POTATOE	potatoes [pl]	
BEAN	beans [pl]	
PEA	peas [pl]	
CHICKPEA	chickpeas [pl]	
AUBERGINE	eggplant (US) / aubergine (UK)	
CARROT	carrots [pl]	
TOMATO	tomatoes [pl]	
TURNIP	turnip	
FLOUR	flour	
HONEY	honey	
CHEESE	cheese	
QUARK	quark / cottage cheese 	
PAPRIKA	paprika	
SAUCE	sauce	
BUTTER	butter	
OIL	oil	
CHEWING_GUM	chewing gum	
SPOON	spoon	
KNIFE	knife	
PLATE	plate	
GLASS	glass (to drink from)	
MUG	mug	
TEAPOT	teapot 	
		
	Clothing	
SHIRT	shirt	تي شيرت
DRESS	Dress	کراس 
SKIRT	skirt	ته نوره
TROUSERS	trousers (UK) / pants (US)	پانتؤل 
PULLOVER	jumper (UK) / sweater / pullover	
COAT	jacket / coat	
HEADSCARF	veil / hijab / headscarf	حيجاب
SHOE	shoes [pl]	
GLOVE	gloves [pl]	
SOCK	socks [pl]	
UNDERWEAR	underwear	جلى زیره وه
		
	Misc	
BED	bed	
BLANKET	blanket	
LAMP	lamp	
TELEPHONE	telephone	ته له فون
CELLPHONE	mobile phone / cellphone	
ELECTRICITY	electricity	
COMPUTER	computer	
INTERNET_CONNECTION	internet connection	
BATTERY	battery	
ROOM	room	
CHAIR	chair	
TABLE	table	
TOILET	toilet	
TOILET_PAPER	toilet paper	
TOOTHBRUSH	toothbrush	
TOOTHPASTE	toothpaste	
SHOWER	shower	
BATHTUB	bathtub	
SOAP	soap	
SHAMPOO	shampoo	
HANDKERCHIEF	tissue / handkerchief	
CUPBOARD	cupboard	
DOOR	door	
WINDOW	window	
WALL	wall	
HOUSE	house	
APARTMENT	apartment / flat	
BOOK	book	
NEWSPAPER	newspaper	
RADIO	radio	
TELEVISION	television	
