	Basic Conversation	Paprasti pokalbiai
GREETING_INFORMAL	Hello	Labas / Laba diena (Good day)
GREETING_MORNING	good morning	Labas rytas
GREETING_EVENING	good evening	Labas vakaras
GREETING_DEPARTURE	goodbye	Iki
SORRY	sorry / excuse me 	Atsiprašau
PLEASE	please	Prašau
THANKS	thank you / thanks	Ačiū
REPLY_THANKS	you're welcome [response to thank you / thanks]	Nėra už ką / Prašom
GIVE_OWN_NAME	my name is...	Mano vardas yra...
ASK_OTHERS_NAME	What is your name?	Koks Jūsų vardas?
GIVE_OWN_PROVENANCE	I’m from...	Aš esu iš...
FAMILY	family	Šeima
PRESENT_HUSBAND	this is my husband	Tai mano vyras
WIFE	my wife	Mano žmona
CHILDREN	my children	Mano vaikai
DAUGHTER	my daughter	Mano duktė
SON	my son	Mano sūnus
BABY	my baby	Mano kūdikis
BROTHER	this is my brother	Tai yra mano brolis
SISTER	this is my sister	Tai yra mano sesuo
FATHER	this is my father	Tai yra mano tėvas / tėtis
MOTHER	this is my mother 	Tai yra mano motina / mama
SUFFER_HUNGER	I’m hungry.	Aš alkanas
CHILD_HUNGRY	(My child) is hungry	(Mano vaikas) alkanas
SUFFER_THIRST	I’m thirsty	Aš ištroškęs
WATER	water	Vanduo
AVAILABLE_Q	Do you have...	Ar turite...
LOCATION_Q	Where is..?	Kur yra...?
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	Kur yra tualetas / Kur yra vonios kambarys?
NEED_SHOWER	I need to take a shower	Man reikia nusiprausti
SHOWER_LOCATION_Q	Where can I take a shower?	Kur aš galėčiau nusiprausti?
SANITARYPAD	sanitary pad / towel	Rankšluostis
DIAPER	diaper / nappy	Sauskelnės / Vystyklas
NEED_MAKE_PHONECALL	I need to make a phone call	Man reikia paskambinti
PRAY_LOCATION_Q	Where can I pray?	Kur aš galiu melstis?
PURCHASE_X_LOCATION_Q	Where can I buy_____?	Kur aš galiu nusipirkti ___?
LOCATION_X_Q	Where can I find____?	Kur aš galiu rasti ___?
TIME_CLOCK_Q	What time is it?	Kiek dabar valandų?
NEED_SLEEP	I (we) need to sleep	Man (mums) reikia miego
SUBWAY_LOCATION_Q	Where is the subway/underground?	Kur yra metro?
NO_MONEY	I don’t have any money.	Aš neturiu pinigų
SPEAK_X_Q	Do you speak...	Ar Jūs kalbate...
SPEAK_LITTLE_X	I don't speak (English) very well.	Aš prastai kalbu (angliškai)
WRITE_DOWN_X_REQUEST	Can you write that down for me?	Ar galite tai užrašyti?
NO_UNDERSTAND	I don’t understand	Aš nesuprantu
HELP_REQUEST	Help! / Please help me!	Padėkit! / Prašau padėkite man!
IGNORANCE	I don’t know	Aš nežinau
EVENT_Q	What happened?	Kas nutiko?
SUFFER_FREEZING	I am cold/ freezing	Man šalta
EXPERIENCE_HAPPINESS	I’m happy.	Aš laimingas
SUFFER_FEAR	I’m scared.	Man baisu
SUFFER_SADNESS	I’m sad.	Man liūdna
EXPERIENCE_LIKING_ADDRESSEE	I like you.	Tu man patinki / Jūs man patinkate [pl]
DONT_WORRY	Don’t worry	Nebijokite
NEED_APPOINTMENT	I would like an appointment.	Aš norėčiau susitikimo
ROOM_NUMBER_N_LOCATION_Q	Where is room number ____?	Kur yra kambarys numeris ___?
REGISTRATION_CENTRE_LOCATION_Q	Where is the registration centre?	Kur yra registracijos centras?
MUST_WAIT	You have to wait	Jums reikia palaukti
WAITING_TIME_DURATION_Q	How long do we have to wait here?	Kiek mums čia reikės laukti?
1_DAY	one day	Viena diena
1_HOUR	one hour	Viena valanda
1_MONTH	one month	Vienas mėnuo
VERYSOON	very soon	Labai greitai
TOMORROW	tomorrow	Rytoj
DAY_AFTER_TOMORROW	the day after tomorrow	Poryt
NEXT_WEEK	next week	Kitą savaitę
RETURN_SOON	I will be back soon	Aš tuoj grįšiu
ONE	one	Vienas
TWO	two	du
THREE	three	trys
FOUR	four	keturi
FIVE	five	penki
SIX	six	šeši
SEVEN	seven	septyni
EIGHT	eight	aštuoni
