	Basic Conversation	Conversação Básica
GREETING_INFORMAL	Hello	Olá
GREETING_MORNING	good morning	Bom dia
GREETING_EVENING	good evening	Boa noite
GREETING_DEPARTURE	goodbye	Adeus
SORRY	sorry / excuse me 	Desculpe
PLEASE	please	Por favor
THANKS	thank you / thanks	Obrigado / Obrigada
REPLY_THANKS	you're welcome [response to thank you / thanks]	De nada / Não tem de quê
GIVE_OWN_NAME	my name is...	O meu nome é...
ASK_OTHERS_NAME	What is your name?	Como se chama?
GIVE_OWN_PROVENANCE	I’m from...	Venho de... / Sou de...
FAMILY	family	Família
PRESENT_HUSBAND	this is my husband	Ele é meu marido
WIFE	my wife	Ela é minha mulher
CHILDREN	my children	Eles são meus filhos
DAUGHTER	my daughter	Ela é minha filha
SON	my son	Ele é meu filho
BABY	my baby	É o meu bebé
BROTHER	this is my brother	Este é o meu irmão
SISTER	this is my sister	Esta é a minha irmã
FATHER	this is my father	Este é o meu pai
MOTHER	this is my mother 	Esta é a minha mãe
SUFFER_HUNGER	I’m hungry.	Estou com fome
CHILD_HUNGRY	(My child) is hungry	O meu filho/ A minha filha tem fome
SUFFER_THIRST	I’m thirsty	Tenho sede
WATER	water	água
AVAILABLE_Q	Do you have...	Tem...?
LOCATION_Q	Where is..?	Onde está…? 
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	Onde fica a casa de banho?
NEED_SHOWER	I need to take a shower	Preciso de tomar banho
SHOWER_LOCATION_Q	Where can I take a shower?	Onde posso tomar um banho?
SANITARYPAD	sanitary pad / towel	Penso higiénico
DIAPER	diaper / nappy	Fralda
NEED_MAKE_PHONECALL	I need to make a phone call	Preciso de fazer uma chamada / Preciso fazer um telefonema / Preciso telefonar
PRAY_LOCATION_Q	Where can I pray?	Onde posso rezar?
PURCHASE_X_LOCATION_Q	Where can I buy_____?	Onde posso comprar...?
LOCATION_X_Q	Where can I find____?	Onde posso encontrar...?
TIME_CLOCK_Q	What time is it?	Que horas são?
NEED_SLEEP	I (we) need to sleep	Preciso de dormir
SUBWAY_LOCATION_Q	Where is the subway/underground?	Onde fica o metro?
NO_MONEY	I don’t have any money.	Não tenho dinheiro
SPEAK_X_Q	Do you speak...	Fala…?
SPEAK_LITTLE_X	I don't speak (English) very well.	Não falo português (muito bem)
WRITE_DOWN_X_REQUEST	Can you write that down for me?	Pode escrever?
NO_UNDERSTAND	I don’t understand	Não entendo/compreendo
HELP_REQUEST	Help! / Please help me!	Ajuda! / Ajude-me por favor!
IGNORANCE	I don’t know	Não sei
EVENT_Q	What happened?	O que aconteceu?
SUFFER_FREEZING	I am cold/ freezing	Tenho frio
EXPERIENCE_HAPPINESS	I’m happy.	Estou feliz
SUFFER_FEAR	I’m scared.	Estou assustado
SUFFER_SADNESS	I’m sad.	Estou triste.
EXPERIENCE_LIKING_ADDRESSEE	I like you.	Gosto de si/ti.
DONT_WORRY	Don’t worry	Não se preocupe
NEED_APPOINTMENT	I would like an appointment.	Preciso marcar uma consulta
ROOM_NUMBER_N_LOCATION_Q	Where is room number ____?	Onde fica a sala/o quarto número ___?
REGISTRATION_CENTRE_LOCATION_Q	Where is the registration centre?	Onde fica o centro de registos?
MUST_WAIT	You have to wait	Precisa de esperar
WAITING_TIME_DURATION_Q	How long do we have to wait here?	Quanto tempo temos de esperar aqui?
1_DAY	one day	Um dia
1_HOUR	one hour	Uma hora
1_MONTH	one month	Um mês.
VERYSOON	very soon	Logo / em breve
TOMORROW	tomorrow	amanhã
DAY_AFTER_TOMORROW	the day after tomorrow	depois de amanhã
NEXT_WEEK	next week	a próxima semana
RETURN_SOON	I will be back soon	Já volto / Volto já
ONE	one	Um
TWO	two	dois
THREE	three	três
FOUR	four	quatro
FIVE	five	cinco
SIX	six	seis
SEVEN	seven	sete
EIGHT	eight	oito
NINE	nine	nove
TEN	ten	dez
