	Basic Conversation	Повседневная речь
GREETING_INFORMAL	Hello	Привет / здравствуйте prʲɪvʲˈet / zdrˈastvʊjtʲɪ
GREETING_MORNING	good morning	Добрый день             dˈobrᵻj dʲˈenʲ
GREETING_EVENING	good evening	Добрый вечер           dˈobrᵻj vʲˈet͡ɕɪr
GREETING_DEPARTURE	goodbye	До свидания              də svʲɪdˈanʲɪjə
SORRY	sorry / excuse me 	Извините / Извини / Простите / Прости    ɪzvʲɪnʲˈitʲɪ / ɪzvʲɪnʲˈi / prɐstʲˈitʲɪ / prɐstʲˈi
PLEASE	please	Пожалуйста      pɐʐˈaləstə
THANKS	thank you / thanks	Спасибо          spɐsʲˈibə
REPLY_THANKS	you're welcome [response to thank you / thanks]	Пожалуйста
GIVE_OWN_NAME	my name is...	Меня зовут...            mʲɪnʲˈæ zɐvˈut...
ASK_OTHERS_NAME	What is your name?	Как Вас зовут?
GIVE_OWN_PROVENANCE	I’m from...	Я из...                             jˈæ ˈis...
FAMILY	family	семья
PRESENT_HUSBAND	this is my husband	Это мой муж          ˈɛtə mˈoj mˈuʂ
WIFE	my wife	...моя жена               mɐjˈæ ʐᵻnˈa
CHILDREN	my children	...мои дети            mɐˈi dʲˈetʲɪ
DAUGHTER	my daughter	...моя дочь / дочка   mɐjˈæ dˈot͡ɕ / dˈot͡ɕkə
SON	my son	...мой сын                 mˈoj sˈɨn
BABY	my baby	...мой ребенок        mˈoj rʲɪbʲˈɵnək
BROTHER	this is my brother	Это мой брат
SISTER	this is my sister	Это моя сестра
FATHER	this is my father	Это мой отец / папа
MOTHER	this is my mother 	Это моя мама
SUFFER_HUNGER	I’m hungry.	Я голоден / голодна
CHILD_HUNGRY	(My child) is hungry	Мой ребенок голоден
SUFFER_THIRST	I’m thirsty	Я хочу пить
WATER	water	вода
AVAILABLE_Q	Do you have...	У вас есть…?
LOCATION_Q	Where is..?	Где…?
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	Где туалет?
NEED_SHOWER	I need to take a shower	Мне нужно принять душ
SHOWER_LOCATION_Q	Where can I take a shower?	Где я могу принять душ?
SANITARYPAD	sanitary pad / towel	(гигиениченые) прокладки
DIAPER	diaper / nappy	Пеленка / Подгузник
NEED_MAKE_PHONECALL	I need to make a phone call	Мне нужно позвонить
PRAY_LOCATION_Q	Where can I pray?	Где я могу помолиться?
PURCHASE_X_LOCATION_Q	Where can I buy_____?	Где мне можно купить_______?
LOCATION_X_Q	Where can I find____?	Где я могу найдти____?
TIME_CLOCK_Q	What time is it?	Cколько времени?/Который час?
NEED_SLEEP	I (we) need to sleep	Мне / Нам нужно спать
SUBWAY_LOCATION_Q	Where is the subway/underground?	Где метро?
NO_MONEY	I don’t have any money.	У меня нет денег
SPEAK_X_Q	Do you speak...	Вы говорите…?
SPEAK_LITTLE_X	I don't speak (English) very well.	Я не (очень хорошо) говорю по немецки
WRITE_DOWN_X_REQUEST	Can you write that down for me?	Не могли бы Вы это написать?
NO_UNDERSTAND	I don’t understand	Я не понимаю
HELP_REQUEST	Help! / Please help me!	Помогите!/ помогите мне, пожалуйста!
