	Basic Conversation	
GREETING_INFORMAL	Hello	S: AhojC: Ahoj
GREETING_MORNING	good morning	S: Dobrý deňC: Dobrý den
GREETING_EVENING	good evening	S: Dobrý večerC: Dobrý večer
GREETING_DEPARTURE	goodbye	S: DovideniaC: Na shledanou
SORRY	sorry / excuse me 	S: PrepáčteC: Promiňte
PLEASE	please	S: Prosím / C: Prosím
THANKS	thank you / thanks	S: Ďakujem / C: Děkuji / Díky
REPLY_THANKS	you're welcome [response to thank you / thanks]	
GIVE_OWN_NAME	my name is...	S: Volám sa / C: Jmenuji se...
ASK_OTHERS_NAME	What is your name?	S: Ako sa voláte ? / C: Jak se jmenujete?
GIVE_OWN_PROVENANCE	I’m from...	S: Ja som z / C: Jsem z
FAMILY	family	S: rodinaC: rodina
PRESENT_HUSBAND	this is my husband	S: To je môj mužC: To je můj muž
WIFE	my wife	S: To je moja ženaC: To je moje žena
CHILDREN	my children	S: Moje detiC: Moje děti
DAUGHTER	my daughter	S: Moja dcéraC: Moje dcera
SON	my son	S: Môj synC: Můj syn
BABY	my baby	S: Moje dieťaC: Moje dítě
BROTHER	this is my brother	S: Toto je môj bratC: Tohle je můj bratr
SISTER	this is my sister	S: Toto je moja sestraC: Tohle je moje sestra
FATHER	this is my father	S: To je môj otecC: To je můj otec / táta
MOTHER	this is my mother 	S: To je moja matkaC: To je moje matka / máma
SUFFER_HUNGER	I’m hungry.	S: Som hladnýC: Mám hlad / Jsem hladový
CHILD_HUNGRY	(My child) is hungry	S: Moje dieťa je hladnéC: Moje dítě má hlad. / Moje dítě je hladové.
SUFFER_THIRST	I’m thirsty	S: Som smädnýC: Mám žízeň
WATER	water	S, C: voda
AVAILABLE_Q	Do you have...	S, C: Máte?
LOCATION_Q	Where is..?	S: KdeC: Kde
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	S: Kde je toaleta (záchod), prosím?C: Kde je toaleta (záchod), prosím?
NEED_SHOWER	I need to take a shower	S: Potrebujem sa osprchovať. C: Potřebuji se osprchovat.
SHOWER_LOCATION_Q	Where can I take a shower?	S: Kde sa môžem osprchovať?C: Kde se mohu osprchovat?
SANITARYPAD	sanitary pad / towel	S: hygienické vložkyC: hygienické vložky
DIAPER	diaper / nappy	S: plienkaC: plenka / gatě
NEED_MAKE_PHONECALL	I need to make a phone call	S: Potrebujem si zatelefonovať / Potrebujem si zavolaťC: Potřebuji si zatelefonovat / Potřebuji si zavolat
PRAY_LOCATION_Q	Where can I pray?	S: Kde sa môžem pomodliť? C: Kde se mohu pomodlit?
PURCHASE_X_LOCATION_Q	Where can I buy_____?	S: Kde kúpim... ?C: Kde koupím...?
LOCATION_X_Q	Where can I find____?	S: Kde nájdem...? C: Kde najdu...?
TIME_CLOCK_Q	What time is it?	S: Koľko je hodín ?C: Kolik je hodin?
