	Basic Conversation	
GREETING_INFORMAL	Hello	S: HejN: Hallo/HeiD: Hej
GREETING_MORNING	good morning	S: GoddagN: God dagD: Goddag
GREETING_EVENING	good evening	S: GodkvällN: God kveldD: God aften
GREETING_DEPARTURE	goodbye	S: HejdåN: Hadet braD: Farvel
SORRY	sorry / excuse me 	S: Ursäkta mig..N: Unnskyld...D: Undskyld..
PLEASE	please	S: SnällaN: Vær så snillD: Vil du venligst
THANKS	thank you / thanks	S: Tusen tackN: Tusen takkD: Mange tak
REPLY_THANKS	you're welcome [response to thank you / thanks]	S: Varsågod N: Bare hyggelig / Værsågod
GIVE_OWN_NAME	my name is...	S: Jag heter..N: Jeg heter..D: Jeg hedder ..
ASK_OTHERS_NAME	What is your name?	S: Vad heter du?N: Hva heter du?D: Hvad hedder du?
GIVE_OWN_PROVENANCE	I’m from...	S: Jag kommer från..N: Jeg kommer fra..D: Jeg kommer fra ..
FAMILY	family	S: familjen N: familien D: Familien
PRESENT_HUSBAND	this is my husband	S: Detta är min manN: Dette er min mannD: Det er min mand
WIFE	my wife	S: min fruN: min koneD: Min kone
CHILDREN	my children	S: Mina barnN: mine barnD: Mine børn
DAUGHTER	my daughter	S: Min dotterN: min datterD: Min datter
SON	my son	S: Min sonN: min sønnD: Min søn
BABY	my baby	S: Min bäbisN: min babyD: Min baby
BROTHER	this is my brother	S: Detta är min bror N: Dette er broren min.D: Det er min bror
SISTER	this is my sister	S: Detta är min syster N: Dette er min søster.D: Det er min søster
FATHER	this is my father	S: Detta är min pappa / far N: Dette er faren minD: Det er min far
MOTHER	this is my mother 	S: Detta är min mamma / mor N: Dette er moren minD: Det er min mor
SUFFER_HUNGER	I’m hungry.	S: Jag är hungrigN: Jeg sultenD: Jeg er sulten
CHILD_HUNGRY	(My child) is hungry	S: Mitt barn är hungrigtN: Mitt barn er sultenD: Mit barn er sulten
SUFFER_THIRST	I’m thirsty	S: Jag är törstig N: Jeg er tørstD: Jeg er tørstig                                 
WATER	water	S: Vatten N: Vann D: Vand
AVAILABLE_Q	Do you have...	S: Har du…N: Har du...D: Har du...
LOCATION_Q	Where is..?	S: Var är..N: Hvor erD: Hvor er..
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	S: Var finns toaletten/badrummet?N: Hvor er toalettet?D: Hvor er toilettet henne?
NEED_SHOWER	I need to take a shower	S: Jag måste ta en dusch N: Jeg må dusjeD: Jeg har brug for et bad
SHOWER_LOCATION_Q	Where can I take a shower?	S: Var kan jag duscha N: Hvor kan jeg dusje?D: Hvor kan jeg tage et bad?
SANITARYPAD	sanitary pad / towel	S: Binda N: BindD: Bind
DIAPER	diaper / nappy	S: Blöja N: BleieD: Ble
NEED_MAKE_PHONECALL	I need to make a phone call	S: Jag måste ringa N: Jeg må ringeD: Jeg skal ringe
PRAY_LOCATION_Q	Where can I pray?	S: Var kan jag be? N: Hvor kan jeg be?D: Hvor kan jeg bede?
PURCHASE_X_LOCATION_Q	Where can I buy_____?	S: Var kan jag köpa ___ N: Hvor kan jeg kjøpe ___ D: Hvor kan jeg købe___
LOCATION_X_Q	Where can I find____?	S: Var kan jag hitta ___? N: Hvor kan jeg finne ___? D: Hvor kan jeg finde___
TIME_CLOCK_Q	What time is it?	S: Vad är klockan? N: Hva er klokken?D: Hvad er klokken?
NEED_SLEEP	I (we) need to sleep	S: Jag måste sova / Vi måste sova N: Jeg må sove/Vi må soveD: Jeg/Vi skal sove
SUBWAY_LOCATION_Q	Where is the subway/underground?	S: Var är tunnelbanan N: Hvor er t-banenD: Hvor er Metroen?
NO_MONEY	I don’t have any money.	S: Jag har inga pengar N: Jeg har ikke pengerD: Jeg har ingen penge
SPEAK_X_Q	Do you speak...	S: Pratar du…?N: Snakker du..?D: Taler du..?
SPEAK_LITTLE_X	I don't speak (English) very well.	S: Jag pratar inte (så bra) tyskN: Jeg snakker ikke så bra tyskD: Jeg taler ikke så godt (Tysk)
WRITE_DOWN_X_REQUEST	Can you write that down for me?	S: Kan du skriva ner det?N: Kan du skrive det ned?D: Kan du skrive det ned?
NO_UNDERSTAND	I don’t understand	S: Jag förstår inte.N: Jeg forstår ikke.D: Jeg forstår ikke.
HELP_REQUEST	Help! / Please help me!	S: Hjälp! / Snälla hjälp mig!N: Hjelp!/ Vær så snill å hjelp meg!D: Hjælp!/ vil du venligst hjælpe mig!
IGNORANCE	I don’t know	S: Jag vet inteN: Jeg vet ikkeD: Jeg ved det ikke
EVENT_Q	What happened?	S: Vad har hänt?N: Hva har skjedd?D: Hvad er der sket?
SUFFER_FREEZING	I am cold/ freezing	S: Jag fryserN: Jeg fryserD: Jeg fryser
EXPERIENCE_HAPPINESS	I’m happy.	S: Jag är glad/ jag är lyckligN: Jeg er glad / jeg er lykkeligD: Jeg er glad/ lykkelig
SUFFER_FEAR	I’m scared.	S: Jag är räddN: Jeg er reddD: Jeg er bange
SUFFER_SADNESS	I’m sad.	S: Jag är ledsenN: Jeg er tristD: Jeg er ked af det
EXPERIENCE_LIKING_ADDRESSEE	I like you.	S: Jag gillar digN: Jeg liker degD: Jeg kan lide dig
DONT_WORRY	Don’t worry	S: Ingen fara N:Ingen fareD: Ingen problem
