	Basic Conversation		
GREETING_INFORMAL	Hello	வணக்கம்	Vanakkam
GREETING_MORNING	good morning	காலை வணக்கம்	kalai vanakkam
GREETING_EVENING	good evening	மாலை வணக்கம்	malai vanakkam
GREETING_DEPARTURE	goodbye	குட்பை	good bye
SORRY	sorry / excuse me 	மன்னிக்கவும் / என்னை மன்னியுங்கள்	Maṉṉikkavum/ eṉṉai maṉṉiyuṅkal
PLEASE	please	தயவு செய்து	dhaiva seythu
THANKS	thank you / thanks	நன்றி / நன்றி	nanri / nanri
REPLY_THANKS	you're welcome [response to thank you / thanks]	நன்றி / நன்றி	nanri / nanri
GIVE_OWN_NAME	my name is...	என் பெயர்.	en peyer
ASK_OTHERS_NAME	What is your name?	உன் பெயர் என்ன?	Un peyer enna?
GIVE_OWN_PROVENANCE	I’m from...	நான் இருந்து இருக்கிறேன் ...	Nāṉ iruntu irukkiṟēṉ...
FAMILY	family	குடும்ப	kudumbam
PRESENT_HUSBAND	this is my husband	இவர் என் கணவர்	Ivar eṉ kaṇavar
WIFE	my wife	என் மனைவி	Eṉ maṉaivi
CHILDREN	my children	என் குழந்தைகள்	Eṉ kulandhaigal
DAUGHTER	my daughter	என் மகள்	Eṉ maghaḷ
SON	my son	என் மகன்	Eṉ maghaṉ
BABY	my baby	என் குழந்தை	Eṉ kuḻandhai
BROTHER	this is my brother	இது எனது சகோதரர்,	Idhu eṉu cakōtarar,
SISTER	this is my sister	இந்த என் சகோதரி	Inta eṉ cakōtari
FATHER	this is my father	இந்த என் தந்தை	Inta eṉ tantai
MOTHER	this is my mother 	இவர் என் அம்மா	Ivar eṉ am'mā
SUFFER_HUNGER	I’m hungry.	எனக்கு பசிக்கிறது .	Eṉakku pacikkiṟatu.
CHILD_HUNGRY	(My child) is hungry	என் குழந்தை ) பசி	Eṉ kuḻantai) paci
SUFFER_THIRST	I’m thirsty	எனக்கு தாகமாக உள்ளது	Eṉakku tākamāka uḷḷatu
WATER	water	நீர்	Nir
AVAILABLE_Q	Do you have...	நீங்கள்...	Nīṅkaḷ...
LOCATION_Q	Where is..?	எங்கே ..?	Eṅkē..?
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	கழிவறை எங்கே?"/எங்கே குளியலறை உள்ளது ? "	Kaḻivaṟai eṅkē?"/Eṅkē kuḷiyalaṟai uḷḷatu?
NEED_SHOWER	I need to take a shower	நான் எங்கே மழை எடுக்க?	Nāṉ eṅkē maḻai eṭukka?
SHOWER_LOCATION_Q	Where can I take a shower?	சுகாதார திண்டு/துண்டு	Cukātāra tiṇṭu/Tuṇṭu
SANITARYPAD	sanitary pad / towel	டயபர்/துணியை	Ṭayapar/Tuṇiyai
DIAPER	diaper / nappy	நான் ஒரு போன் செய்ய வேண்டும்	Nāṉ oru pōṉ ceyya vēṇṭum
NEED_MAKE_PHONECALL	I need to make a phone call	பிரார்த்தனை செய்ய	Pirārttaṉai ceyya
PRAY_LOCATION_Q	Where can I pray?	நான் எங்கே buy_____ முடியும்?	Nāṉ eṅkē buy_____ muṭiyum?
PURCHASE_X_LOCATION_Q	Where can I buy_____?	நான் எங்கே find____ முடியும்?	Nāṉ eṅkē find____ muṭiyum?
LOCATION_X_Q	Where can I find____?	இது என்ன காலம் ?	Itu eṉṉa kālam?
TIME_CLOCK_Q	What time is it?	தூங்க	Tūṅka
NEED_SLEEP	I (we) need to sleep	சுரங்கப்பாதை / நிலத்தடி உள்ளது?	Curaṅkappātai/ nilattaṭi uḷḷatu?
SUBWAY_LOCATION_Q	Where is the subway/underground?	நான் எந்த பணம் இல்லை.	Nāṉ enta paṇam illai.
NO_MONEY	I don’t have any money.	நீ பேசுவாயா...	Nī pēcuvāyā...
SPEAK_X_Q	Do you speak...	நீங்கள் ஆங்கிலம் பேசுவீர்களா?	Nīṅkaḷ āṅkilam pēcuvīrkaḷā?
SPEAK_LITTLE_X	I don't speak (English) very well.	நீங்கள் எனக்கு அந்த கீழே எழுத முடியும்?	Nīṅkaḷ eṉakku anta kīḻē eḻuta muṭiyum?
WRITE_DOWN_X_REQUEST	Can you write that down for me?	எனக்கு புரியவில்லை	Eṉakku puriyavillai
NO_UNDERSTAND	I don’t understand	உதவும் ! / தயவு செய்து உதவுங்கள்!	Utavum! / Tayavu ceytu utavuṅkaḷ!
HELP_REQUEST	Help! / Please help me!	எனக்கு தெரியாது	Eṉakku teriyātu
IGNORANCE	I don’t know	என்ன நடந்தது?	Eṉṉa naṭantatu?
EVENT_Q	What happened?	நான் குளிர் இருக்கிறேன் / முடக்கம்	Nāṉ kuḷir irukkiṟēṉ/ muṭakkam
SUFFER_FREEZING	I am cold/ freezing	நான் சந்தோஷமாக இருக்கிறேன்.	nāṉ cantōṣamāka irukkiṟēṉ.
