	Basic Conversation	ዝርርብ ቀንዲ	Ziriribi K´enidi
GREETING_INFORMAL	Hello	ሰላም፣ሰላማት	selam/selamat
GREETING_MORNING	good morning	ደሓንዶ ሓዲርኩም	deHando Hadirkum
GREETING_EVENING	good evening	ከመይ አምሲም።	dehan dom sichum
GREETING_DEPARTURE	goodbye	ደሓን ኵን	deHan kun
SORRY	sorry / excuse me 	ይቐሬታ	yichreta
PLEASE	please	በጃኺ	bjakha
THANKS	thank you / thanks	ምስጋና ፨ የቀንየለይ	Mi´si´gana / yekenyelei
REPLY_THANKS	you're welcome [response to thank you / thanks]	ገንዘብኪ/ካ	genzebki/a
GIVE_OWN_NAME	my name is...	ስመይ ___ እዩ።	semey ___ ey-yu.
ASK_OTHERS_NAME	What is your name?	መን'ዩ ስምካ፧	men-yu semka?
GIVE_OWN_PROVENANCE	I’m from...	... ኢየ።	... iye.
FAMILY	family	ስድራ	sedra
PRESENT_HUSBAND	this is my husband	እዚ በዓል በተይ	izi beal betey
WIFE	my wife	ሰበይተይ	sebeytey
CHILDREN	my children	ደቀይ	deqey
DAUGHTER	my daughter	ጋለይ	guAley
SON	my son	ወደይ	wedey
BABY	my baby	ሕጻን	his´an
BROTHER	this is my brother	ሓወይ	hawey
SISTER	this is my sister	ሓፍተይ	haftey
FATHER	this is my father	ኣቦይ	aboy
MOTHER	this is my mother 	ኣደ	ad-de
SUFFER_HUNGER	I’m hungry.	ጥሜት ኣለኒ።	Temayat aleni.
CHILD_HUNGRY	(My child) is hungry	ጋለይ ጠምያ ኣላ።	geley tmeya ala
SUFFER_THIRST	I’m thirsty	ማይ ጸሚኤ	may tsemie
WATER	water	ማይ	May
AVAILABLE_Q	Do you have...	ኣለኪ ዶ ...፧	aleki do ...?
LOCATION_Q	Where is..?	…ኣበይ እዩ፧	… abey ey-yu?
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	ዓይኒ ምድሪ ኣበይ እዩ፧ / ዓይኒ ምድሪ ባኞ፧	abey ey-yu ani midri? / abey ey-yu banjo?
NEED_SHOWER	I need to take a shower	ነብሰይ ክሕፀብ ደልየ	Ane nebsey k'hetseb delye
SHOWER_LOCATION_Q	Where can I take a shower?	ነብሰይ አበይ ክሕፀብ እክእል፧	Nebsey Abey kihtseb EkiEl
SANITARYPAD	sanitary pad / towel	ጽግያት	tsgyat
DIAPER	diaper / nappy	መድረዝ ኣፍ	medrez af
NEED_MAKE_PHONECALL	I need to make a phone call	ተለፎን ክድዉል ደልየ	Telephone kidiwil delye
PRAY_LOCATION_Q	Where can I pray?	አበይ ክጽልይ እክእል፧	Abey Kitsili EkiEl
PURCHASE_X_LOCATION_Q	Where can I buy_____?	___ አበይ ክዕድግ እክእል፧	___ abey kiEdig EkiEl?
LOCATION_X_Q	Where can I find____?	___ አበይ ክረክብ እክእል፧	___ Abey Kirekib EkiEl
