	Basic Conversation	Temel iletisim / konuşma
GREETING_INFORMAL	Hello	Merhaba / Selam
GREETING_MORNING	good morning	Günaydın
GREETING_EVENING	good evening	İyi akşamlar
GREETING_DEPARTURE	goodbye	Hoşçakal
SORRY	sorry / excuse me 	Özür dilerim
PLEASE	please	Lütfen
THANKS	thank you / thanks	Teşekkürler
REPLY_THANKS	you're welcome [response to thank you / thanks]	bir şey değil
GIVE_OWN_NAME	my name is...	Adım ....
ASK_OTHERS_NAME	What is your name?	Adın ne?
GIVE_OWN_PROVENANCE	I’m from...	....den geliyorum
FAMILY	family	aile
PRESENT_HUSBAND	this is my husband	Bu benim kocam ...
WIFE	my wife	karım
CHILDREN	my children	çocuklarım (>1)çocuğum (1)
DAUGHTER	my daughter	kızım
SON	my son	oğlum
BABY	my baby	bebeğim
BROTHER	this is my brother	Bu abim /Bu erkek kardeşim
SISTER	this is my sister	Bu ablam / bu kız kardeşim
FATHER	this is my father	Bu benim babam
MOTHER	this is my mother 	Bu benim annem
SUFFER_HUNGER	I’m hungry.	Açım
CHILD_HUNGRY	(My child) is hungry	Çocuğum aç
SUFFER_THIRST	I’m thirsty	Susadım
WATER	water	su
AVAILABLE_Q	Do you have...	... var mı?
LOCATION_Q	Where is..?	... nerede?
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	Tuvalet nerede?
NEED_SHOWER	I need to take a shower	yıkanmam lazım
SHOWER_LOCATION_Q	Where can I take a shower?	nerede yıkanabilirim?
SANITARYPAD	sanitary pad / towel	ped
DIAPER	diaper / nappy	Bebek bezi
NEED_MAKE_PHONECALL	I need to make a phone call	telefon etmem lazım
PRAY_LOCATION_Q	Where can I pray?	nerede namaz kılabilirim?
PURCHASE_X_LOCATION_Q	Where can I buy_____?	_____ nereden satın alabilirim?
LOCATION_X_Q	Where can I find____?	_____ nerede bulabilirim?
TIME_CLOCK_Q	What time is it?	saat kaç
NEED_SLEEP	I (we) need to sleep	Uykum(uz) var
SUBWAY_LOCATION_Q	Where is the subway/underground?	Metro nerede?
NO_MONEY	I don’t have any money.	(Hiç) param yok
SPEAK_X_Q	Do you speak...	.... biliyor musun?
SPEAK_LITTLE_X	I don't speak (English) very well.	Türkçe bilmiyorum---Az Türkçe biliyorum
WRITE_DOWN_X_REQUEST	Can you write that down for me?	Bana bunu yazar mısın?
NO_UNDERSTAND	I don’t understand	Anlamıyorum.
HELP_REQUEST	Help! / Please help me!	İmdat/ Lütfen bana yardım edin
IGNORANCE	I don’t know	Bilmiyorum
EVENT_Q	What happened?	Ne oldu?
SUFFER_FREEZING	I am cold/ freezing	(çok) Üşüyorum
EXPERIENCE_HAPPINESS	I’m happy.	mutluyum
SUFFER_FEAR	I’m scared.	korkuyorum
SUFFER_SADNESS	I’m sad.	üzgünüm
EXPERIENCE_LIKING_ADDRESSEE	I like you.	Senden hoşlanıyorum
DONT_WORRY	Don’t worry	Boşver / Üzülme
NEED_APPOINTMENT	I would like an appointment.	Randevu gerekiyor
ROOM_NUMBER_N_LOCATION_Q	Where is room number ____?	______ Numaralı oda nerede?
