NEED_DOCTOR	I need to see a doctor	Me duhet nje mjek
NEED_HOSPITAL	I need to go to the hospital	Duhet të shkoj ne spital
NEED_AMBULANCE	I need an ambulance	Me nevojitet nje ambulace
WHERE_GET_MEDICINE	Where can I fill this prescription?	Ku mund ta mbush këtë recete?
WHEN_RETURN	When do I have to come back?	Kur duhet të vi përsëri?
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	A duhet të shkoj në spital?
SUFFER_ICD10_J45	I have asthma	Unë kam azëm
SUFFER_ICD10_J41	I have chronic bronchitis	Kam Bronhitis kronik
SUFFER_ICD10_I50	I have heart failure	Kam lodhje zëmre
SUFFER_ICD10_I21	I had a myocardial infarction	Kam pasur njëherë infarkt ne zemër
SUFFER_ICD10_G40	I have epilepsy	Kam epilepsi
SUFFER_ICD10_C00	I have cancer	Kam kancer
SUFFER_ICD10_A16	I have tuberculosis	Kam tuberkuloz
SUFFER_ICD10_E10	I have diabetes	Kam diabet
SUFFER_HIV	I have HIV	Kam HIV
SUFFER_ICD10_C90	I have leukaemia	Kam leukemi
SUFFER_ICD10_D57	I have sickle cell disease	Unë kam anemi drepanocitozës
SUFFER_ICD10_D56	I have thalassaemia	Unë kam talasemi
SUFFER_ICD10_F32	I have chronic depression	Unë kam depresion kronik
SUFFER_ICD10_F20	I have schizophrenia	Kam skizofreni
SUFFER_ICD10_F31	I have bipolar disorder	Unë kam çrregullim bipolar
HERE_MY_MEDICATION	This is my medication	Keto janë medikamentet e mia
DAILY_MEDICATION	I take this medication every day	Unë marrë këto barrna ç'do ditë 
PERMANENT_MEDICATION	I have been taking this medication for years	Unë i kam pirë këto barrna për një vit
NEED_MORE_MEDICATION	I need more of this medication	Kam nevojë për më shumë nga këto barna
SUFFER_INJURY	I was injured	Unë jam plagosur 
SUFFER_BEATING	Somebody hit me	Më kanë rrahur 
SUFFER_KNIFING	I was stabbed/ cut with a knife	Jam i therrur / lënduar me thikë
SUFFER_CAR_ACCIDENT	I was hit by a car	Me ka goditur Automjeti/ Vetura.
SUFFER_STING	I was stung by an insect	Më ka pickuar një insekt
SUFFER_BITE	I was bitten	Më kanë kafshuar 
SUFFER_FALL_FROM_HEIGHT	I fell from a height	Jam rrezuar nga lartesia
SUFFER_FALL 	I fell down	Jam rrezuar
HERE_PAIN	It hurts here	Këtu kam dhimbje
PAIN_MOVES_A_B	The pain started here and goes to here	Dhimbja më kalon nga këtu deri këtu
PERMANENT_PAIN	The pain is there all the time	Kam dhimbje gjith kohën
NON_PERMANENT_PAIN	The pain comes and goes	Dhimbja sa vjen e shkon
PAIN_WHEN_TOUCHED	It hurts when I touch it	Kjo më dhemb kur e prek
PAIN_WHEN_STANDING	It gets worse when I stand up	Eshte me keq kur qëndroj ne këmbë
PAIN_WHEN_LYING	It gets worse when I lie down	Është më keq kur unë shtrihem
SHARP_PAIN	It is a sharp pain	Kjo është një dhimbje e mprehtë
DULL_PAIN	It is a dull pain	Kjo është një dhimbje e rëndomtë 
SUDDEN_PAIN	The pain started suddenly	Dhimbja filloi papritmas
GRADUAL_PAIN	The pain started gradually	Dhimbja filloi gradualisht
KNOWN_PAIN	I have had this pain before	Unë kam pasur këtë dhimbje njërehere
UNKNOWN_PAIN	I have never had this pain before	Unë nuk e kam pasur kete dhimbje ndonjëhere
SUFFER_BLEEDING	I am bleeding	Unë jam i gjakosur 
SUFFER_ICD10_R31	There is blood in my urine	Unë kam gjak në urine
