NEED_DOCTOR	I need to see a doctor	Treba mi ljekar/ liječnik/ doktor.
NEED_HOSPITAL	I need to go to the hospital	Moram u bolnicu.
NEED_AMBULANCE	I need an ambulance	 Potrebno mi je vozilo hitne pomoći (Trebam kola hitne pomoći).
WHERE_GET_MEDICINE	Where can I fill this prescription?	Gdje mogu podići lijek (lek) za ovaj recept?
WHEN_RETURN	When do I have to come back?	Kada moram opet doći (kada moram opet da dođem)?
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	Moram li ići u bolnicu?
SUFFER_ICD10_J45	I have asthma	Imam astmu.
SUFFER_ICD10_J41	I have chronic bronchitis	Imam kronični (hronični) bronhitis.
SUFFER_ICD10_I50	I have heart failure	Imam zatajenje srca. 
SUFFER_ICD10_I21	I had a myocardial infarction	Imao (m) / imala (f) sam infarkt / srčani udar.
SUFFER_ICD10_G40	I have epilepsy	Imam epilepsiju.  / 
SUFFER_ICD10_C00	I have cancer	Imam rak.
SUFFER_ICD10_A16	I have tuberculosis	Imam tuberkulozu (sušicu). /                                                                                                                                                                                                                                                        
SUFFER_ICD10_E10	I have diabetes	Imam dijabetes.
SUFFER_HIV	I have HIV	Imam HIV / SIDU / AIDS.
SUFFER_ICD10_C90	I have leukaemia	Imam leukemiju.
SUFFER_ICD10_D57	I have sickle cell disease	Imam bolest srpastih stanica (anemiju srpastih ćelija).
SUFFER_ICD10_D56	I have thalassaemia	Bolujem od talasemije.
SUFFER_ICD10_F32	I have chronic depression	Bolujem/patim od kronične depresije (hronične depresije).
SUFFER_ICD10_F20	I have schizophrenia	Bolujem/patim od shizofrenije (šizofrenije).
SUFFER_ICD10_F31	I have bipolar disorder	Bolujem/patim od bipolarnog poremećaja.
HERE_MY_MEDICATION	This is my medication	Ovo su lijekovi (lekovi) koje uzimam.
DAILY_MEDICATION	I take this medication every day	Ove lijekove (lekove) uzimam svaki dan.
PERMANENT_MEDICATION	I have been taking this medication for years	Ove lijekove (lekove) uzimam već godinama.
NEED_MORE_MEDICATION	I need more of this medication	Treba mi još ovog lijeka (leka).
SUFFER_INJURY	I was injured	Ranjen sam. (m) / Ranjena sam (f).
SUFFER_BEATING	Somebody hit me	Istukli/udarili su me.
SUFFER_KNIFING	I was stabbed/ cut with a knife	Ozlijeđen (povređen) sam od uboda nožem.
SUFFER_CAR_ACCIDENT	I was hit by a car	Udario me (je) automobil.
SUFFER_STING	I was stung by an insect	Ubo me kukac. (Pretrpeo (m) / pretrpela (f) sam ubod insekta.)
SUFFER_BITE	I was bitten	Nešto me ugrizlo.
SUFFER_FALL_FROM_HEIGHT	I fell from a height	Pao (m) / pala (f) sam s visine.
SUFFER_FALL 	I fell down	Pao (m) / pala (f) sam.
HERE_PAIN	It hurts here	Osjećam bol na ovom dijelu tijela. (Na ovom me mestu boli.)
PAIN_MOVES_A_B	The pain started here and goes to here	Bol migrira s ovog na onaj dio tijela. (Bol se pomera s ovog na onaj dio tela.)
