NEED_DOCTOR	I need to see a doctor	Potřebuji navštívit doktora. 
NEED_HOSPITAL	I need to go to the hospital	Zavolejte mi prosím sanitku.  
NEED_AMBULANCE	I need an ambulance	Zavolejte mi prosím sanitku. 
WHERE_GET_MEDICINE	Where can I fill this prescription?	Kde si mohu obstarat tyto léky? 
WHEN_RETURN	When do I have to come back?	Kdy mám zase přijít?  
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	Musím do nemocnice?  
SUFFER_ICD10_J45	I have asthma	Mám astma.  Mám astmu.
SUFFER_ICD10_J41	I have chronic bronchitis	Mám chronickou bronchitidu.  
SUFFER_ICD10_I50	I have heart failure	Mám problém se srdcem.  
SUFFER_ICD10_I21	I had a myocardial infarction	Jsem po infarktu. 
SUFFER_ICD10_G40	I have epilepsy	Mám epilepsii. 
SUFFER_ICD10_C00	I have cancer	Mám rakovinu.
SUFFER_ICD10_A16	I have tuberculosis	Mám tuberkulózu
SUFFER_ICD10_E10	I have diabetes	Mám cukrovku
SUFFER_HIV	I have HIV	Mám HIV
SUFFER_ICD10_C90	I have leukaemia	Mám leukemii.  
SUFFER_ICD10_D57	I have sickle cell disease	Mám srpkovitou anémii.  
SUFFER_ICD10_D56	I have thalassaemia	Mám geneticky pomíněnou anemii  
SUFFER_ICD10_F32	I have chronic depression	Trpím chronickou depresí.  
SUFFER_ICD10_F20	I have schizophrenia	Mám schizofrenii.  
SUFFER_ICD10_F31	I have bipolar disorder	Mám bipolární poruchu osobnosti.  
HERE_MY_MEDICATION	This is my medication	Toto jsou mé léky.  
DAILY_MEDICATION	I take this medication every day	Tyto léky beru denně.  
PERMANENT_MEDICATION	I have been taking this medication for years	Tyto léky už beru dlouho.  
NEED_MORE_MEDICATION	I need more of this medication	Těchto léků potřebuji víc.  
SUFFER_INJURY	I was injured	Byl jsem zraněný.  
SUFFER_BEATING	Somebody hit me	Někdo mě praštil. 
SUFFER_KNIFING	I was stabbed/ cut with a knife	Byl jsem pobodaný nožem. 
SUFFER_CAR_ACCIDENT	I was hit by a car	Srazilo mě auto.  
SUFFER_STING	I was stung by an insect	Poštípal mě hmyz.  
SUFFER_BITE	I was bitten	Pokousal mě pes.  
SUFFER_FALL_FROM_HEIGHT	I fell from a height	Spadl jsem z výšky. 
SUFFER_FALL 	I fell down	Upadl jsem.  
HERE_PAIN	It hurts here	Tady to bolí. 
PAIN_MOVES_A_B	The pain started here and goes to here	Bolest začala zde a pokračuje sem.
PERMANENT_PAIN	The pain is there all the time	Stále to bolí.  
NON_PERMANENT_PAIN	The pain comes and goes	Bolest přichází a odchází.  
PAIN_WHEN_TOUCHED	It hurts when I touch it	Zde to bolí, když se toho dotknu.  
PAIN_WHEN_STANDING	It gets worse when I stand up	Zhorší se to, když se postavím. 
PAIN_WHEN_LYING	It gets worse when I lie down	Zhorší se to, když si lehnu.  
SHARP_PAIN	It is a sharp pain	Je to ostrá bolest.  
DULL_PAIN	It is a dull pain	Je to tupá bolest.  
SUDDEN_PAIN	The pain started suddenly	Náhle to začalo bolet. 
GRADUAL_PAIN	The pain started gradually	Začalo to bolet postupně.  
KNOWN_PAIN	I have had this pain before	Už mě to bolelo před tím.  
UNKNOWN_PAIN	I have never had this pain before	Nikdy mě to před tím nebolelo.  
SUFFER_BLEEDING	I am bleeding	Krvácím  
SUFFER_ICD10_R31	There is blood in my urine	Mám krev v moči.  
SUFFER_ICD10_K92	There is blood in my faeces	Mám krev ve stolici.  
SUFFER_ICD10_K92	There is blood in my vomit	Zvracím krev.  
SUFFER_ICD10_R04.2	I am coughing up blood	Kašlu krev.  
SUFFER_ICD10_K62	I am bleeding from my anus	Krvácím z konečníku 
SUFFER_ICD10_R04.0	I have a nosebleed	Krvácím z nosu 
SUFFER_ICD10_N93	I am bleeding between my periods	Krvácím mezi peridami  
SUFFER_ICD10_N95	My periods finished, but I am bleeding again	Krvácím i po menopauze  
FMA_7154	head	hlava
FMA_54448	eye	oko
FMA_52780	ear	ucho
FMA_49184	mouth	ústa
FMA_24728	face	tvář  
FMA_7155	neck	krk
FMA_25202	shoulder	rameno
FMA_24901	elbow	loket  
FMA_24964	hip	bok
FMA_24974	knee	koleno
FMA_9665	ankle	kotník  
FMA_9664	foot	noha / chodidlo
FMA_24890	arm	paže  
FMA_24979	leg	noha
FMA_9712	hand	ruka
FMA_9666	finger	prst
FMA_25046	toe	prst na noze  
FMA_9576	chest	hruď
FMA_9577	belly	břicho  
FMA_7088	heart	srdce
FMA_7195	lung	plýce  
FMA_7148	stomach	žaludek  
FMA_7202	gallbladder	žlučník  
FMA_7203	kidney	ledvina  
FMA_7199	bowel	střevo  
FMA_15711	anus	konečník
FMA_17558	uterus	děloha  
FMA_7209	ovary	vaječník
FMA_19949	vagina	vagína
FMA_7210	testes	varlata  
FMA_9707	penis	penis
SUFFER_SICKNESS	I feel ill	Cítim sa zle. 
SUFFER_ICD10_R50	I have a fever	Mám horúčku.
FREEZING	I feel cold	Mám nádchu.
SUFFER_SHIVERING	I have been shaking	Mám triašku.
SUFFER_COLD_SWEAT	I had a cold sweat	Mám zimnicu.
SUFFERED_ICD10_R55	I fainted	Odpadol som.
SUFFER_ICD10_H81	I feel dizzy	Mám závrať.
SUFFER_ICD10_G40	I had a seizure	Mal som záchvat.
SUFFER_ICD10_R55	I was unconscious	Bol som v bezvedomí. 
SUFFER_ICD10_R06	I have difficulty breathing	Ťažko dýcham. 
SUFFER_ICD10_R06.2	I have wheezing	Chrčím. 
SUFFER_ICD10_R05	I have a cough	Kašlem
SUFFER_ICD10_R09.3	I am coughing up sputum	Vykašlievam hlien.
SUFFER_ICD10_I47	My heart beats fast	Búši mi srdce
SUFFER_ICD10_I49	My heart beats irregular	Moje srdce bije nepravidelne.
SUFFER_CHEST_PAIN	I have chest pain	Bolí ma v hrudi
SUFFER_STOMACH_PAIN	I have stomach ache	Bolí ma brucho
SUFFER_ICD10_R11	I feel sick	Je mi zle
SUFFERED_VOMITING	I have been sick	Bol som chorý
SUFFER_ICD10_A09	I have diarrhoea	Mám hnačku
SUFFER_ICD10_K59	I have constipation	Mám zápchu
VOMITING_OF_ALL_INGESTED	I vomit up all food and drinks	Zvraciam všetko čo príjmem
SUFFER_ICD10_N39.3	I urinate every hour	Močím každú hodinu.
SUFFER_ICD10_R30.9	I have pain when urinating	Bolí ma pri močení.
SMELLY_URINE	My urine smells bad	Moja moč smrdí
SUFFER_ICD10_R30.0	I can´t urinate	Nemôžem močiť
SUFFER_ICD10_R10	I have colic pain in my side	Mám koliku.
MAYBE_PREGNANT	I might be pregnant	Možno som tehotná
BLEEDING_DURING_PREGNANCY	I am pregnant and I am bleeding	Som tehotná a krvácam
UTERINE_CONTRACTION	I am in labour	Rodím
SEX_TWO_DAYS_AGO	I last had sex 2 days ago	Mala som sex pred dvoma dňami
LONG_TIME_NO_SEX	I have not had sex for a long time	Dlho som nemal sex
DISEASESDB_28137	I have a discharge from my vagina	Mám výtok z vagíny
SUFFER_ICD10_N34	I have a discharge from my urethra	Mám výtok z močovej rúry.
SUFFERED_RAPE	I have been raped	Bola som znasilnená
SUFFER_ICD10_R20.1	My ... feels numb	Necítim si ...
SUFFER_ICD10_R20.2	My .. is tingling	Cítim mravenčenie v ....
WEAK_X	My .. is weak	Mám slabé ...
PARALYSED_X	My .. is paralysed	Mám ochromené ....
INABILITY_TO_SPEAK	I cannot speak	Nemôžem hovoriť
SUFFER_ICD10_H54	I cannot see	Nevidím
SUFFER_ICD10_R51	I have a headache	Bolí ma hlava
SUFFER_ICD10_M54.2	I cannot flex my neck	Nemôžem hýbať hlavou
SUFFER_FEAR	I feel frightened	Bojím sa
