NEED_DOCTOR	I need to see a doctor	Kailangan ko ng doktor
NEED_HOSPITAL	I need to go to the hospital	Kailangan kong pumunta sa ospital
NEED_AMBULANCE	I need an ambulance	Kailangan ko ng ambulansya
WHERE_GET_MEDICINE	Where can I fill this prescription?	Saan ako maaaring punan ang resetang ito?
WHEN_RETURN	When do I have to come back?	Kailan ko kailangang bumalik?
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	Kailangan ko bang ma-admit sa ospital?
SUFFER_ICD10_J45	I have asthma	May asthma ako
SUFFER_ICD10_J41	I have chronic bronchitis	May chronic bronchitis ako
SUFFER_ICD10_I50	I have heart failure	May heart failure ako
SUFFER_ICD10_I21	I had a myocardial infarction	Inaatake ang puso ko
SUFFER_ICD10_G40	I have epilepsy	May epilepsi ako
SUFFER_ICD10_C00	I have cancer	May kanser ako
SUFFER_ICD10_A16	I have tuberculosis	May tuberkulosis ako
SUFFER_ICD10_E10	I have diabetes	May diabetes ako
SUFFER_HIV	I have HIV	May HIV ako
SUFFER_ICD10_C90	I have leukaemia	May leukaemia ako
SUFFER_ICD10_D57	I have sickle cell disease	May sickle cell disease ako
SUFFER_ICD10_D56	I have thalassaemia	May thalassaemia ako
SUFFER_ICD10_F32	I have chronic depression	May kronikong depresyon ako
SUFFER_ICD10_F20	I have schizophrenia	May skisoprenya ako
SUFFER_ICD10_F31	I have bipolar disorder	May bipolar disorder ako
HERE_MY_MEDICATION	This is my medication	Ito ang mga gamot ko
DAILY_MEDICATION	I take this medication every day	Iniinom ko ang gamot na ito araw-araw
PERMANENT_MEDICATION	I have been taking this medication for years	Ilang taon ko nang iniinom ang gamot na ito
NEED_MORE_MEDICATION	I need more of this medication	Kailangan ko pa ng maraming gamot na ito
SUFFER_INJURY	I was injured	Nasugatan ako
SUFFER_BEATING	Somebody hit me	May sumalpuk sa akin
SUFFER_KNIFING	I was stabbed/ cut with a knife	Nasaksak ako/Nahiwa ako
SUFFER_CAR_ACCIDENT	I was hit by a car	Natamaan ako ng kotse
SUFFER_STING	I was stung by an insect	Nakagat ako ng insekto
SUFFER_BITE	I was bitten	Nakagat ako
SUFFER_FALL_FROM_HEIGHT	I fell from a height	Nahulog ako mula sa isang mataas na lugar
SUFFER_FALL 	I fell down	Nahulog ako
HERE_PAIN	It hurts here	Masakit dito
PAIN_MOVES_A_B	The pain started here and goes to here	Nagsisimula ang sakit dito hangang dito
PERMANENT_PAIN	The pain is there all the time	Laging nandirito ang sakit
NON_PERMANENT_PAIN	The pain comes and goes	Nawawala at bumabalik ang sakit
PAIN_WHEN_TOUCHED	It hurts when I touch it	Masakit kung hawakan ko
PAIN_WHEN_STANDING	It gets worse when I stand up	Lumalala kung tumatayo ako
PAIN_WHEN_LYING	It gets worse when I lie down	Lumalala kung humihiga ako
SHARP_PAIN	It is a sharp pain	Makirot
DULL_PAIN	It is a dull pain	Manhid
SUDDEN_PAIN	The pain started suddenly	Nagsimula ng biglaan ang sakit
GRADUAL_PAIN	The pain started gradually	Dahan-dahang nagsimula ang sakit
KNOWN_PAIN	I have had this pain before	Naramdaman ko na ang sakit na ito nuon
UNKNOWN_PAIN	I have never had this pain before	Ngayon ko palang naranasan ang sakit na ito
SUFFER_BLEEDING	I am bleeding	Nagdudugo ako
SUFFER_ICD10_R31	There is blood in my urine	May dugo ang ihi ko
SUFFER_ICD10_K92	There is blood in my faeces	May dugo ang dumi ko
