NEED_DOCTOR	I need to see a doctor	Πρέπει να με δει γιατρός.	Prépi na me di giatrós.
NEED_HOSPITAL	I need to go to the hospital	Πρεπει να πάω σε νοσοκομείο!	Prépi na páo se nosokomío.
NEED_AMBULANCE	I need an ambulance	Χρειάζομαι ασθενοφόρο.	Hriázome asthenofóro.
WHERE_GET_MEDICINE	Where can I fill this prescription?	Από πού μπορώ να πάρω αυτή την συνταγή?	Apó pu boró na páro aftí ti sintagí?
WHEN_RETURN	When do I have to come back?	Πότε πρέπει να ξαναέρθω? 	Póte prépi na ksanártho?
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	Πρέπει να εισαχθώ σε νοσοκομείο?	Prépi na isahthó se nosokomío?
SUFFER_ICD10_J45	I have asthma	Έχω άσθμα.	Ého ásthma.
SUFFER_ICD10_J41	I have chronic bronchitis	Έχω χρόνια βρογχίτιδα.	Ého hrónia vrohítida.
SUFFER_ICD10_I50	I have heart failure	Έχω καρδιακή ανεπάρκεια.	Ého kardiakí anepárkia.
SUFFER_ICD10_I21	I had a myocardial infarction	Εχω περάσει καρδιακό έμφραγμα.	Ého perási kardiakó émfragma.
SUFFER_ICD10_G40	I have epilepsy	Έχω επιληψία.	Ého epilipsía.
SUFFER_ICD10_C00	I have cancer	Έχω καρκίνο.	Ého karkíno.
SUFFER_ICD10_A16	I have tuberculosis	Έχω φυματίωση.	Ého fimatíosi.
SUFFER_ICD10_E10	I have diabetes	Έχω διαβήτη.	Ého diavíti.
SUFFER_HIV	I have HIV	Έχω τον ιό HIV.	Ého ton ió HIV.
SUFFER_ICD10_C90	I have leukaemia	Έχω λευχαιμία.	Ého lefkhemía.
SUFFER_ICD10_D57	I have sickle cell disease	Έχω δρεπανοκυτταρική αναιμία.	Ého drepanokitarikí anemía.
SUFFER_ICD10_D56	I have thalassaemia	Έχω Θαλασσαιμία.	Ého thalassemía.
SUFFER_ICD10_F32	I have chronic depression	Έχω κατάθλιψη.	Ého katáthlipsi.
SUFFER_ICD10_F20	I have schizophrenia	Έχω σχιζοφρένεια.	Ého schizofrénia.
SUFFER_ICD10_F31	I have bipolar disorder	Έχω διπολική διαταραχή.	Ého dipolikí diatarahí.
HERE_MY_MEDICATION	This is my medication	Αυτά είναι τα φάρμακα που παίρνω.	Aftá íne ta fármaka pu pérno.
DAILY_MEDICATION	I take this medication every day	Παίρνω αυτά τα φάρμακα καθημερινά.	Pérno aftá ta fármaka kathimeriná.
PERMANENT_MEDICATION	I have been taking this medication for years	Παίρνω αυτά τα φάρμακα πολλά χρόνια.	Pérno aftá ta fármaka polá hrónia.
NEED_MORE_MEDICATION	I need more of this medication	Χρειάζομαι περισσότερο από αυτά τα φάρμακα.	Hriázome perisótero apó aftá ta fármaka.
SUFFER_INJURY	I was injured	Τραυματίστηκα.	Travmatístika.
