NEED_DOCTOR	I need to see a doctor	Ho bisogno di vedere un medico
NEED_HOSPITAL	I need to go to the hospital	Ho bisogno di andare in ospedale
NEED_AMBULANCE	I need an ambulance	Ho bisogno di un'ambulanza
WHERE_GET_MEDICINE	Where can I fill this prescription?	Dove posso trovare il farmaco/il trattamento che prescrive questa ricetta?
WHEN_RETURN	When do I have to come back?	Quando devo tornare?
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	Devo essere ricoverato in ospedale?
SUFFER_ICD10_J45	I have asthma	Soffro di asma
SUFFER_ICD10_J41	I have chronic bronchitis	Soffro di bronchite cronica
SUFFER_ICD10_I50	I have heart failure	Soffro di insufficienza cardiaca
SUFFER_ICD10_I21	I had a myocardial infarction	Ho avuto un infarto
SUFFER_ICD10_G40	I have epilepsy	Soffro di epilessia
SUFFER_ICD10_C00	I have cancer	Sono malata/o di cancro
SUFFER_ICD10_A16	I have tuberculosis	Ho la tubercolosi
SUFFER_ICD10_E10	I have diabetes	Ho il diabete
SUFFER_HIV	I have HIV	Sono malata/o di HIV
SUFFER_ICD10_C90	I have leukaemia	Ho la leucemia
SUFFER_ICD10_D57	I have sickle cell disease	Soffro di anemia drepanocitica
SUFFER_ICD10_D56	I have thalassaemia	Ho la talassemia
SUFFER_ICD10_F32	I have chronic depression	Soffro di depressione cronica
SUFFER_ICD10_F20	I have schizophrenia	Soffro di schizofrenia
SUFFER_ICD10_F31	I have bipolar disorder	Soffro di disturbi bipolari
HERE_MY_MEDICATION	This is my medication	Questo è il farmaco che prendo abitualmente
DAILY_MEDICATION	I take this medication every day	Assumo questo farmaco giornalmente
PERMANENT_MEDICATION	I have been taking this medication for years	Prendo questo farmaco da anni
NEED_MORE_MEDICATION	I need more of this medication	Ho bisogno di altre confezioni di questo farmaco
SUFFER_INJURY	I was injured	Sono stato ferito / Ho subito un infortunio
SUFFER_BEATING	Somebody hit me	Sono stata/o colpita/o
SUFFER_KNIFING	I was stabbed/ cut with a knife	Sono stata/o aggredita/o con un coltello
SUFFER_CAR_ACCIDENT	I was hit by a car	Sono stata/o investita/o da una macchina
SUFFER_STING	I was stung by an insect	Sono stata/o punta/o da un insetto
SUFFER_BITE	I was bitten	Sono stata/o morsa/o
SUFFER_FALL_FROM_HEIGHT	I fell from a height	Sono caduta/o da una certa altezza
SUFFER_FALL 	I fell down	Sono caduta/o
HERE_PAIN	It hurts here	Fa male qui 
PAIN_MOVES_A_B	The pain started here and goes to here	Fa male da qui a qui
PERMANENT_PAIN	The pain is there all the time	Il dolore è continuo
NON_PERMANENT_PAIN	The pain comes and goes	Il dolore è intermittente
PAIN_WHEN_TOUCHED	It hurts when I touch it	Fa male quando lo tocco
PAIN_WHEN_STANDING	It gets worse when I stand up	Peggiora quando sono in piedi 
PAIN_WHEN_LYING	It gets worse when I lie down	Peggiora quando sono distesa/o
SHARP_PAIN	It is a sharp pain	È un dolore acuto 
DULL_PAIN	It is a dull pain	È un dolore sordo
SUDDEN_PAIN	The pain started suddenly	Il dolore è iniziato all'improvviso
GRADUAL_PAIN	The pain started gradually	Il dolore è iniziato gradualmente
KNOWN_PAIN	I have had this pain before	Ho già avuto questo dolore in passato
UNKNOWN_PAIN	I have never had this pain before	Non ho mai avuto prima questo dolore
SUFFER_BLEEDING	I am bleeding	Sto sanguinando
SUFFER_ICD10_R31	There is blood in my urine	Ho sangue nelle urine
SUFFER_ICD10_K92	There is blood in my faeces	Ho sangue nelle feci
SUFFER_ICD10_K92	There is blood in my vomit	Ho sangue nel vomito
SUFFER_ICD10_R04.2	I am coughing up blood	Tossisco sangue
