NEED_DOCTOR	I need to see a doctor	Divê ez biçim doxtor (bijîşk).
NEED_HOSPITAL	I need to go to the hospital	Divê ez biçim nexweşxanê.
NEED_AMBULANCE	I need an ambulance	Ambulansek ji min re pêwist e.
WHERE_GET_MEDICINE	Where can I fill this prescription?	Ez li ku derê dikarim vî dermanî bibînim?
WHEN_RETURN	When do I have to come back?	Divê ez kengî dîsa werim?
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	Ez mecbûrim herim nexweşxanê?
SUFFER_ICD10_J45	I have asthma	Astima min heye
SUFFER_ICD10_J41	I have chronic bronchitis	Bronşîta min kronîk e.
SUFFER_ICD10_I50	I have heart failure	Nexweşiya dil têrnekirinê li min heye
SUFFER_ICD10_I21	I had a myocardial infarction	Dilê min sekinî / rawestî
SUFFER_ICD10_G40	I have epilepsy	Ez tebê digrim (Epîlepsia min heye)
SUFFER_ICD10_C00	I have cancer	Kansera (Penceşêr) min heye
SUFFER_ICD10_A16	I have tuberculosis	Nexweşiya min a tuberkulozê (jana zirav) heye
SUFFER_ICD10_E10	I have diabetes	Şekirê min heye
SUFFER_HIV	I have HIV	HIV a min heye (Vîrûsê AIDSê)
SUFFER_ICD10_C90	I have leukaemia	Kansera min a xwînê (leukaemî) heye / 
SUFFER_ICD10_D57	I have sickle cell disease	
SUFFER_ICD10_D56	I have thalassaemia	
SUFFER_ICD10_F32	I have chronic depression	Depresyona min a kronîk heye
SUFFER_ICD10_F20	I have schizophrenia	Nexweşiya min a şîzofrenî heye
SUFFER_ICD10_F31	I have bipolar disorder	Nexweşiya min a bipolarî heye
HERE_MY_MEDICATION	This is my medication	Ev dermanê min in.
DAILY_MEDICATION	I take this medication every day	Ez van dermanan her roj dixwim.
PERMANENT_MEDICATION	I have been taking this medication for years	Ez bi salan van dermanan dixwim.
NEED_MORE_MEDICATION	I need more of this medication	Ji van dermanan zêdetir ji bo min pêwîstin
SUFFER_INJURY	I was injured	Ez birîndarim.
SUFFER_BEATING	Somebody hit me	Yekî li min xist.
SUFFER_KNIFING	I was stabbed/ cut with a knife	Ez bi kêrê birindar bûm.
SUFFER_CAR_ACCIDENT	I was hit by a car	Seyyare/Erebê li min xist.
SUFFER_STING	I was stung by an insect	Kêzikê bi min ve da.
SUFFER_BITE	I was bitten	Tiştekî ez gez kirim.
SUFFER_FALL_FROM_HEIGHT	I fell from a height	Ez ji jor ketim erdê. 
SUFFER_FALL 	I fell down	Ez ketim.
HERE_PAIN	It hurts here	Ev der diêşe.
PAIN_MOVES_A_B	The pain started here and goes to here	Êş ji vir dest pê dike û diçê vir.
PERMANENT_PAIN	The pain is there all the time	Êş her tim heye.
NON_PERMANENT_PAIN	The pain comes and goes	Êş tê û diçê.
PAIN_WHEN_TOUCHED	It hurts when I touch it	Dema dest didê, diêşe.
PAIN_WHEN_STANDING	It gets worse when I stand up	Dema ez dirabim ser pîya xirabtir dibe.
PAIN_WHEN_LYING	It gets worse when I lie down	Dema ez dirazim xirabtir dibe.
