NEED_DOCTOR	I need to see a doctor	Muszę iść do lekarza
NEED_HOSPITAL	I need to go to the hospital	Muszę iść do szpitala
NEED_AMBULANCE	I need an ambulance	Potrzebuję karetki
WHERE_GET_MEDICINE	Where can I fill this prescription?	Gdzie mogę zrealizować receptę?
WHEN_RETURN	When do I have to come back?	Kiedy muszę wrócić?
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	Czy muszę iść do szpitala?
SUFFER_ICD10_J45	I have asthma	Mam astmę
SUFFER_ICD10_J41	I have chronic bronchitis	Mam chroniczne zapalenie oskrzeli
SUFFER_ICD10_I50	I have heart failure	Mam wadę serca
SUFFER_ICD10_I21	I had a myocardial infarction	Jestem po zawale serca
SUFFER_ICD10_G40	I have epilepsy	Mam padaczkę / Mam epilepsję
SUFFER_ICD10_C00	I have cancer	Mam raka
SUFFER_ICD10_A16	I have tuberculosis	Mam gruźlicę
SUFFER_ICD10_E10	I have diabetes	Mam cukrzycę / Jestem cukrzykiem
SUFFER_HIV	I have HIV	Mam HIV
SUFFER_ICD10_C90	I have leukaemia	Mam białaczkę
SUFFER_ICD10_D57	I have sickle cell disease	Mam anemię sierpowatą
SUFFER_ICD10_D56	I have thalassaemia	Cierpię na talasemię / niedokrwistość tarczowatokrwinkową
SUFFER_ICD10_F32	I have chronic depression	Cierpię na chroniczną depresję
SUFFER_ICD10_F20	I have schizophrenia	Cierpię na schizofrenię
SUFFER_ICD10_F31	I have bipolar disorder	Cierpię na chorobę dwubiegunową
HERE_MY_MEDICATION	This is my medication	To mój lek
DAILY_MEDICATION	I take this medication every day	Biorę ten lek codziennie
PERMANENT_MEDICATION	I have been taking this medication for years	Biorę ten lek od lat
NEED_MORE_MEDICATION	I need more of this medication	Potrzebuję więcej tego leku
SUFFER_INJURY	I was injured	Jestem ranny / ranna
SUFFER_BEATING	Somebody hit me	Uderzono mnie
SUFFER_KNIFING	I was stabbed/ cut with a knife	Raniono mnie / dźgnięto mnie nożem
SUFFER_CAR_ACCIDENT	I was hit by a car	Potrącił mnie samochód
SUFFER_STING	I was stung by an insect	Ugryzł mnie owad
SUFFER_BITE	I was bitten	Pokąsało mnie/Zostałem ugrzyziony
SUFFER_FALL_FROM_HEIGHT	I fell from a height	Spadłem / spadłam z wysokości
SUFFER_FALL 	I fell down	Upadłem / upadłam
HERE_PAIN	It hurts here	Boli mnie tutaj
PAIN_MOVES_A_B	The pain started here and goes to here	Ból zaczął się tutaj i podąża dotąd
PERMANENT_PAIN	The pain is there all the time	Ból nie ustępuje
NON_PERMANENT_PAIN	The pain comes and goes	Ból przychodzi i odchodzi
PAIN_WHEN_TOUCHED	It hurts when I touch it	Boli, gdy dotykam
PAIN_WHEN_STANDING	It gets worse when I stand up	Jest gorzej, gdy wstaję
PAIN_WHEN_LYING	It gets worse when I lie down	Jest gorzej, gdy się kładę
SHARP_PAIN	It is a sharp pain	Jest to ostry ból
DULL_PAIN	It is a dull pain	Jest to tępy ból
SUDDEN_PAIN	The pain started suddenly	Ból rozpoczął się niespodziewanie
GRADUAL_PAIN	The pain started gradually	Ból rozwinął się stopniowo
KNOWN_PAIN	I have had this pain before	Już wcześniej doświadczyłem / -am tego bólu
UNKNOWN_PAIN	I have never had this pain before	Nigdy nie doświadczyłem / -am tego bólu
SUFFER_BLEEDING	I am bleeding	Krwawię
SUFFER_ICD10_R31	There is blood in my urine	Mam krew w moczu
SUFFER_ICD10_K92	There is blood in my faeces	Mam krew w stolcu
SUFFER_ICD10_K92	There is blood in my vomit	Wymiotuję krwią
SUFFER_ICD10_R04.2	I am coughing up blood	Kaszlę krwią
SUFFER_ICD10_K62	I am bleeding from my anus	Krwawię z odbytu
SUFFER_ICD10_R04.0	I have a nosebleed	Leci mi krew z nosa
SUFFER_ICD10_N93	I am bleeding between my periods	Krwawię między okresami
SUFFER_ICD10_N95	My periods finished, but I am bleeding again	Krawię, chociaż jestem po menopauzie
FMA_7154	head	głowa
FMA_54448	eye	oko
FMA_52780	ear	ucho
FMA_49184	mouth	usta
FMA_24728	face	twarz
FMA_7155	neck	szyja
FMA_25202	shoulder	ramię
FMA_24901	elbow	łokieć
FMA_24964	hip	biodro
FMA_24974	knee	kolano
FMA_9665	ankle	kostka
FMA_9664	foot	stopa
FMA_24890	arm	ramię
FMA_24979	leg	noga
FMA_9712	hand	ręka
FMA_9666	finger	palec
FMA_25046	toe	palec u nogi
FMA_9576	chest	klatka piersiowa
FMA_9577	belly	brzuch
FMA_7088	heart	serce
FMA_7195	lung	płuca
FMA_7148	stomach	żołądek
FMA_7202	gallbladder	pęcherz
FMA_7203	kidney	nerka
FMA_7199	bowel	jelito
