NEED_DOCTOR	I need to see a doctor	Preciso de um médico.
NEED_HOSPITAL	I need to go to the hospital	Preciso ir para o hospital.
NEED_AMBULANCE	I need an ambulance	Preciso de uma ambulância.
WHERE_GET_MEDICINE	Where can I fill this prescription?	Onde posso levantar esta receita?
WHEN_RETURN	When do I have to come back?	Quando eu tenho que voltar a ve-lo?
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	Tenho que ser internado no hospital?
SUFFER_ICD10_J45	I have asthma	Tenho asma
SUFFER_ICD10_J41	I have chronic bronchitis	Tenho bronquite crónica
SUFFER_ICD10_I50	I have heart failure	Tenho uma insuficiencia cardíaca
SUFFER_ICD10_I21	I had a myocardial infarction	Tive um enfarte
SUFFER_ICD10_G40	I have epilepsy	Tenho epilepsia
SUFFER_ICD10_C00	I have cancer	Tenho cancro
SUFFER_ICD10_A16	I have tuberculosis	Tenho tuberculose
SUFFER_ICD10_E10	I have diabetes	Tenho diabetes
SUFFER_HIV	I have HIV	Tenho sida
SUFFER_ICD10_C90	I have leukaemia	Tenho leucemia
SUFFER_ICD10_D57	I have sickle cell disease	Eu tenho uma doença falciforme
SUFFER_ICD10_D56	I have thalassaemia	eu tenho talassemia
SUFFER_ICD10_F32	I have chronic depression	Tenho depressão crónica
SUFFER_ICD10_F20	I have schizophrenia	Sou esquizofrénico
SUFFER_ICD10_F31	I have bipolar disorder	Sou bipolar
HERE_MY_MEDICATION	This is my medication	Esta é a minha medicação.
DAILY_MEDICATION	I take this medication every day	Eu tomo esta medicação todos os dias.
PERMANENT_MEDICATION	I have been taking this medication for years	Eu tomo esta medicação há muitos anos.
NEED_MORE_MEDICATION	I need more of this medication	Preciso mais desta medicação.
SUFFER_INJURY	I was injured	Eu estava lesionado.
SUFFER_BEATING	Somebody hit me	Alguem me bateu.
SUFFER_KNIFING	I was stabbed/ cut with a knife	Eu fui esfaqueado.
SUFFER_CAR_ACCIDENT	I was hit by a car	Eu fui atropelado por um carro.
SUFFER_STING	I was stung by an insect	Fui picado por um inseto.
SUFFER_BITE	I was bitten	Fui mordido.
SUFFER_FALL_FROM_HEIGHT	I fell from a height	Caí de uma altura.
SUFFER_FALL 	I fell down	Eu caí.
HERE_PAIN	It hurts here	Dói aqui.
PAIN_MOVES_A_B	The pain started here and goes to here	A dor começou aqui e vai até ali.
PERMANENT_PAIN	The pain is there all the time	A dor está sempre presente.
NON_PERMANENT_PAIN	The pain comes and goes	A dor vai e vem.
PAIN_WHEN_TOUCHED	It hurts when I touch it	Dói quando toco 
PAIN_WHEN_STANDING	It gets worse when I stand up	Fica pior quando estou em pé
PAIN_WHEN_LYING	It gets worse when I lie down	Fica pior quando me deito
SHARP_PAIN	It is a sharp pain	É uma dor aguda
DULL_PAIN	It is a dull pain	É uma dor leve
SUDDEN_PAIN	The pain started suddenly	A dor começou subitamente
GRADUAL_PAIN	The pain started gradually	A dor começou gradualmente
KNOWN_PAIN	I have had this pain before	Eu tive esta dor antes
