NEED_DOCTOR	I need to see a doctor	Am Nevoie de un medic
NEED_HOSPITAL	I need to go to the hospital	Trebuie sa merg la spital
NEED_AMBULANCE	I need an ambulance	Am nevoie de o ambulanta
WHERE_GET_MEDICINE	Where can I fill this prescription?	De unde pot lua aceasta rețetă?
WHEN_RETURN	When do I have to come back?	Cînd trebuie să mă întorc?
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	Trebuie să fiu internat în spital?
SUFFER_ICD10_J45	I have asthma	Sufăr de astm.
SUFFER_ICD10_J41	I have chronic bronchitis	Sufăr de bronșită cronică.
SUFFER_ICD10_I50	I have heart failure	Sufăr de insuficiență cardiacă.
SUFFER_ICD10_I21	I had a myocardial infarction	Am suferit un infarct.
SUFFER_ICD10_G40	I have epilepsy	Sufăr de epilepsie.
SUFFER_ICD10_C00	I have cancer	Sînt bolnav de cancer.
SUFFER_ICD10_A16	I have tuberculosis	Sînt bolnav de tuberculoză.
SUFFER_ICD10_E10	I have diabetes	Am diabet
SUFFER_HIV	I have HIV	Am SIDA
SUFFER_ICD10_C90	I have leukaemia	Am leucemie
SUFFER_ICD10_D57	I have sickle cell disease	Sufar de siclemie (anemia cu celule in secera)
SUFFER_ICD10_D56	I have thalassaemia	Sufar de talasemie
SUFFER_ICD10_F32	I have chronic depression	Sufar de depresie cronica
SUFFER_ICD10_F20	I have schizophrenia	Sufar de schizofrenie
SUFFER_ICD10_F31	I have bipolar disorder	Sufar de tulburari bipolare (cu trasaturi psihotice)
HERE_MY_MEDICATION	This is my medication	Acesta este medicamentul meu
DAILY_MEDICATION	I take this medication every day	Iau acest medicament zilnic
PERMANENT_MEDICATION	I have been taking this medication for years	Iau acest medicament de X ani
NEED_MORE_MEDICATION	I need more of this medication	Am nevoie de mai multe doze de acest medicament
SUFFER_INJURY	I was injured	Sunt ranit
SUFFER_BEATING	Somebody hit me	Am fost batut
SUFFER_KNIFING	I was stabbed/ cut with a knife	Am fost injunghiat
SUFFER_CAR_ACCIDENT	I was hit by a car	Am fost calcat de o masina
SUFFER_STING	I was stung by an insect	Am fost muscat de o insecta
SUFFER_BITE	I was bitten	Am fost muscat de ..
SUFFER_FALL_FROM_HEIGHT	I fell from a height	Am fost lovit
SUFFER_FALL 	I fell down	Am cazut
HERE_PAIN	It hurts here	Ma doare aici
PAIN_MOVES_A_B	The pain started here and goes to here	Durerea porneste de aici pana aici.
PERMANENT_PAIN	The pain is there all the time	Durerea este permanenta
NON_PERMANENT_PAIN	The pain comes and goes	Durerea vine si trece/este intermitenta
PAIN_WHEN_TOUCHED	It hurts when I touch it	Ma doare la atingere
PAIN_WHEN_STANDING	It gets worse when I stand up	Ma doare mai tare cand stau in picioare
PAIN_WHEN_LYING	It gets worse when I lie down	Ma doare mai tare cand sunt culcat 
SHARP_PAIN	It is a sharp pain	Este o durere acuta
DULL_PAIN	It is a dull pain	Este o durere minora
SUDDEN_PAIN	The pain started suddenly	Durerea a inceput dintr-odata
GRADUAL_PAIN	The pain started gradually	Durerea s-a instalat progresiv
KNOWN_PAIN	I have had this pain before	Am mai avut astfel de dureri
UNKNOWN_PAIN	I have never had this pain before	Nu am mai avut niciodata o astfel de durere
SUFFER_BLEEDING	I am bleeding	Sângerez
SUFFER_ICD10_R31	There is blood in my urine	Urinez cu sânge
SUFFER_ICD10_K92	There is blood in my faeces	Am sânge in scaun
SUFFER_ICD10_K92	There is blood in my vomit	Vomit cu sânge
SUFFER_ICD10_R04.2	I am coughing up blood	Tusesc cu sânge
SUFFER_ICD10_K62	I am bleeding from my anus	Sângerez la fund
SUFFER_ICD10_R04.0	I have a nosebleed	Sângerez pe nas
SUFFER_ICD10_N93	I am bleeding between my periods	Sângerez intre menstruatii
SUFFER_ICD10_N95	My periods finished, but I am bleeding again	Sângerez dupa ce am avut menopauza
FMA_7154	head	Cap
FMA_54448	eye	Ochi
FMA_52780	ear	Ureche
FMA_49184	mouth	Gura
FMA_24728	face	Fata
FMA_7155	neck	Gât
FMA_25202	shoulder	Umâr
FMA_24901	elbow	Cot
FMA_24964	hip	Șold
FMA_24974	knee	Genunchi
FMA_9665	ankle	Costin
FMA_9664	foot	Picior
FMA_24890	arm	Braț
FMA_24979	leg	Picior
FMA_9712	hand	Mâna
FMA_9666	finger	Deget de la mână
FMA_25046	toe	Deget de la picior
FMA_9576	chest	Piept/ san
FMA_9577	belly	Burta
