NEED_DOCTOR	I need to see a doctor	Мне нужен врач
NEED_HOSPITAL	I need to go to the hospital	Мне нужно пойти в к врачу
NEED_AMBULANCE	I need an ambulance	Мне нужна скорая помощь
WHERE_GET_MEDICINE	Where can I fill this prescription?	Где можно купить лекарство по этому рецепту?
WHEN_RETURN	When do I have to come back?	Когда мне нужно вернуться к вам?
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	Мне нужно лечь в больницу?
SUFFER_ICD10_J45	I have asthma	У меня  астма
SUFFER_ICD10_J41	I have chronic bronchitis	У меня хронический бронхит
SUFFER_ICD10_I50	I have heart failure	У меня сердечная недостаточность
SUFFER_ICD10_I21	I had a myocardial infarction	У меня был инфаркт
SUFFER_ICD10_G40	I have epilepsy	У меня эпилепсия
SUFFER_ICD10_C00	I have cancer	У меня рак
SUFFER_ICD10_A16	I have tuberculosis	У меня туберкулез
SUFFER_ICD10_E10	I have diabetes	У меня диабет
SUFFER_HIV	I have HIV	У меня  ВИЧ
SUFFER_ICD10_C90	I have leukaemia	У меня белокровие/лейкемия
SUFFER_ICD10_D57	I have sickle cell disease	У меня серповидноклеточная анемия
SUFFER_ICD10_D56	I have thalassaemia	У меня эритробластическая анемия/талассемия 
SUFFER_ICD10_F32	I have chronic depression	У меня хроническая депрессия
SUFFER_ICD10_F20	I have schizophrenia	У меня шизофрения
SUFFER_ICD10_F31	I have bipolar disorder	У меня биполярное расстройство
HERE_MY_MEDICATION	This is my medication	Это мое лекарство
DAILY_MEDICATION	I take this medication every day	Я принимаю это лекарство каждый день
PERMANENT_MEDICATION	I have been taking this medication for years	Я принимаю это лекарство уже несколько лет
NEED_MORE_MEDICATION	I need more of this medication	Мне нужно еще больше этого лекарства
SUFFER_INJURY	I was injured	Я ранен/ранена
SUFFER_BEATING	Somebody hit me	Меня ударили
SUFFER_KNIFING	I was stabbed/ cut with a knife	Меня ударили ножом
SUFFER_CAR_ACCIDENT	I was hit by a car	Меня ударила машина
SUFFER_STING	I was stung by an insect	Меня укусило насекомое
SUFFER_BITE	I was bitten	Меня укусили
SUFFER_FALL_FROM_HEIGHT	I fell from a height	Я упал/а с высоты
SUFFER_FALL 	I fell down	Я упал/а  
HERE_PAIN	It hurts here	Здесь болит
PAIN_MOVES_A_B	The pain started here and goes to here	Болит то тут, то там
PERMANENT_PAIN	The pain is there all the time	Здесь все время больно/болит
NON_PERMANENT_PAIN	The pain comes and goes	Боль бывает только иногда
