NEED_DOCTOR	I need to see a doctor	Necesito un médico
NEED_HOSPITAL	I need to go to the hospital	Necesito ir al hospital
NEED_AMBULANCE	I need an ambulance	Necesito una ambulancia
WHERE_GET_MEDICINE	Where can I fill this prescription?	¿Dónde puedo obtener esta receta?
WHEN_RETURN	When do I have to come back?	¿Cuándo tengo que volver a verle?
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	¿Es necesario que vaya al hospital?
SUFFER_ICD10_J45	I have asthma	Tengo asma
SUFFER_ICD10_J41	I have chronic bronchitis	Tengo bronquitis crónica
SUFFER_ICD10_I50	I have heart failure	Tengo una insuficiencia cardíaca
SUFFER_ICD10_I21	I had a myocardial infarction	He tenido un infarto
SUFFER_ICD10_G40	I have epilepsy	Tengo epilepsia
SUFFER_ICD10_C00	I have cancer	Tengo cáncer
SUFFER_ICD10_A16	I have tuberculosis	Tengo tuberculosis
SUFFER_ICD10_E10	I have diabetes	Tengo diabetes
SUFFER_HIV	I have HIV	Tengo VIH/SIDA
SUFFER_ICD10_C90	I have leukaemia	Tengo leucemia
SUFFER_ICD10_D57	I have sickle cell disease	Tengo la enfermedad de células falciformes
SUFFER_ICD10_D56	I have thalassaemia	Tengo talasemia/anemia de Cooley
SUFFER_ICD10_F32	I have chronic depression	Tengo depresión crónica
SUFFER_ICD10_F20	I have schizophrenia	Soy esquizofrénico
SUFFER_ICD10_F31	I have bipolar disorder	Soy bipolar
HERE_MY_MEDICATION	This is my medication	Esta es mi medicación
DAILY_MEDICATION	I take this medication every day	Tomo esta medicación todos los días / cada día
PERMANENT_MEDICATION	I have been taking this medication for years	He tomado esta medicación por años
NEED_MORE_MEDICATION	I need more of this medication	Necesito más de esta medicación
SUFFER_INJURY	I was injured	Fui herido / herida
SUFFER_BEATING	Somebody hit me	Alguien me golpeó
SUFFER_KNIFING	I was stabbed/ cut with a knife	Fui acuchillado/a / cortado/a con un cuchillo/navaja
SUFFER_CAR_ACCIDENT	I was hit by a car	Fui atropellado/a por un auto
SUFFER_STING	I was stung by an insect	Me picó un insecto
SUFFER_BITE	I was bitten	Fui mordido/a
SUFFER_FALL_FROM_HEIGHT	I fell from a height	Me caí desde altura
SUFFER_FALL 	I fell down	Me caí
HERE_PAIN	It hurts here	Me duele aquí
PAIN_MOVES_A_B	The pain started here and goes to here	El dolor empieza aquí y llega hasta ahí
PERMANENT_PAIN	The pain is there all the time	El dolor es crónico / está todo el tiempo
NON_PERMANENT_PAIN	The pain comes and goes	El dolor es intermitente / va y viene
