NEED_DOCTOR	I need to see a doctor	Doktora görünmem gerekiyor.
NEED_HOSPITAL	I need to go to the hospital	Hastaneye gitmem gerekiyor.
NEED_AMBULANCE	I need an ambulance	Ambulans çağırır mısınız?
WHERE_GET_MEDICINE	Where can I fill this prescription?	Bu reçeteyi nerede doldurabilirim?
WHEN_RETURN	When do I have to come back?	Sizi tekrar görmek için ne zaman gelmem gerekiyor?
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	Hastaneye yatmam gerekiyor mu?
SUFFER_ICD10_J45	I have asthma	Astımım var.
SUFFER_ICD10_J41	I have chronic bronchitis	Kronik bronşitim var.
SUFFER_ICD10_I50	I have heart failure	Kalp yetmezliğim var.
SUFFER_ICD10_I21	I had a myocardial infarction	Kalp krizi gecirdim.
SUFFER_ICD10_G40	I have epilepsy	Epilepsi/Sara hastasıyım.
SUFFER_ICD10_C00	I have cancer	Kanserim.
SUFFER_ICD10_A16	I have tuberculosis	Tüberküloz/Verem hastasıyım.
SUFFER_ICD10_E10	I have diabetes	Diyabet/Şeker hastasıyım.
SUFFER_HIV	I have HIV	HIV hastasıyım.
SUFFER_ICD10_C90	I have leukaemia	Lösemi hastasıyım.
SUFFER_ICD10_D57	I have sickle cell disease	Orak hücreli anemi hastaligim var.
SUFFER_ICD10_D56	I have thalassaemia	Talasemi hastasıyım.
SUFFER_ICD10_F32	I have chronic depression	Kronik depresyon hastasıyım.
SUFFER_ICD10_F20	I have schizophrenia	Şizofrenim.
SUFFER_ICD10_F31	I have bipolar disorder	Bipolar bozukluğum var.
HERE_MY_MEDICATION	This is my medication	Bu(nlar) benim ilaç(lar)ım.
DAILY_MEDICATION	I take this medication every day	Bu ilaç(ları) her gün alıyorum.
PERMANENT_MEDICATION	I have been taking this medication for years	Bu ilaç(ları) yıllardır kullanıyorum.
NEED_MORE_MEDICATION	I need more of this medication	Bu ilaç(lar)a ihtiyacım var.
SUFFER_INJURY	I was injured	Yaralandım.
SUFFER_BEATING	Somebody hit me	Biri bana vurdu.
SUFFER_KNIFING	I was stabbed/ cut with a knife	Bıçakla yaralandım.
SUFFER_CAR_ACCIDENT	I was hit by a car	Bana araba çarptı.
SUFFER_STING	I was stung by an insect	Beni böcek soktu.
SUFFER_BITE	I was bitten	Beni (bir şey) ısırdı. 
SUFFER_FALL_FROM_HEIGHT	I fell from a height	Yüksekten düştüm
SUFFER_FALL 	I fell down	Düştüm. 
HERE_PAIN	It hurts here	Burası acıyor. 
PAIN_MOVES_A_B	The pain started here and goes to here	Acı/ağrı şuradan başlıyor ve şuraya gidiyor.
PERMANENT_PAIN	The pain is there all the time	Ağrı/acı hep var.
NON_PERMANENT_PAIN	The pain comes and goes	Ağrı/acı gelip gidiyor.
PAIN_WHEN_TOUCHED	It hurts when I touch it	Dokunduğum zaman acıyor. 
PAIN_WHEN_STANDING	It gets worse when I stand up	Ayağa kalktığım zaman daha da kötüleşiyor.
PAIN_WHEN_LYING	It gets worse when I lie down	Yattığım zaman daha kötüleşiyor.
SHARP_PAIN	It is a sharp pain	Keskin bir ağrı.
DULL_PAIN	It is a dull pain	İnce bir sızı.
SUDDEN_PAIN	The pain started suddenly	Ağrı/acı aniden başladı.
GRADUAL_PAIN	The pain started gradually	Ağrı/acı yavaş yavaş arttı.
KNOWN_PAIN	I have had this pain before	Daha önce de böyle acımıştı/ağrımıştı.
UNKNOWN_PAIN	I have never had this pain before	Daha önce hiç böyle ağrım/acım olmamıştı.
SUFFER_BLEEDING	I am bleeding	Kanamam var
SUFFER_ICD10_R31	There is blood in my urine	İdrarımda kan var.
SUFFER_ICD10_K92	There is blood in my faeces	Diskimda kan var.
