NEED_DOCTOR	I need to see a doctor	Mi treba doktor
NEED_HOSPITAL	I need to go to the hospital	Moram da odam vo bolnica
NEED_AMBULANCE	I need an ambulance	Mi treba ambulantno vozilo
WHERE_GET_MEDICINE	Where can I fill this prescription?	Kade mozam da go podignam ovoj recept? 
WHEN_RETURN	When do I have to come back?	Koga treba da dojdam povtorno
HOSPITALIZATION_Q	Do I have to be admitted to the hospital?	Dali treba da me primat vo bolnica
SUFFER_ICD10_J45	I have asthma	imam astma
SUFFER_ICD10_J41	I have chronic bronchitis	Imam hronicen bronhitis
SUFFER_ICD10_I50	I have heart failure	Imam slabo srce
SUFFER_ICD10_I21	I had a myocardial infarction	Imav infarkt
SUFFER_ICD10_G40	I have epilepsy	Imam epilepsija
SUFFER_ICD10_C00	I have cancer	Imam rak
SUFFER_ICD10_A16	I have tuberculosis	Imam tuberkuloza
SUFFER_ICD10_E10	I have diabetes	Imam dijabetis
SUFFER_HIV	I have HIV	Imam HIV
SUFFER_ICD10_C90	I have leukaemia	Imam leukemija
SUFFER_ICD10_D57	I have sickle cell disease	Imam srpesta anemija
SUFFER_ICD10_D56	I have thalassaemia	Imam talasemija
SUFFER_ICD10_F32	I have chronic depression	Imam hronicna depresija
SUFFER_ICD10_F20	I have schizophrenia	Imam shizofrenija
SUFFER_ICD10_F31	I have bipolar disorder	Imam bipolarno poremetuvanje
HERE_MY_MEDICATION	This is my medication	Ova se moite lekovi
DAILY_MEDICATION	I take this medication every day	Ovie lekovi gi zemam sekoj den
PERMANENT_MEDICATION	I have been taking this medication for years	Ovie lekovi gi zemam so godini
NEED_MORE_MEDICATION	I need more of this medication	Mi treba ovoj lek
SUFFER_INJURY	I was injured	Jas bev povreden/povredena
SUFFER_BEATING	Somebody hit me	Nekoj me udri
SUFFER_KNIFING	I was stabbed/ cut with a knife	Ranet/Raneta sum od noz
SUFFER_CAR_ACCIDENT	I was hit by a car	Me udri kola/avtomobil
SUFFER_STING	I was stung by an insect	Me bocna insekt
SUFFER_BITE	I was bitten	Kasnat sum/Me kasna...
SUFFER_FALL_FROM_HEIGHT	I fell from a height	Padnav od visoko
SUFFER_FALL 	I fell down	Padnav
HERE_PAIN	It hurts here	Tuka me boli
PAIN_MOVES_A_B	The pain started here and goes to here	Bolkata zapocna tuka i premina tuka
PERMANENT_PAIN	The pain is there all the time	Bolkata e postojana
NON_PERMANENT_PAIN	The pain comes and goes	Bolkata e povremena
PAIN_WHEN_TOUCHED	It hurts when I touch it	Me boli na dopir
PAIN_WHEN_STANDING	It gets worse when I stand up	Se vlosuva koga ke zastanam
PAIN_WHEN_LYING	It gets worse when I lie down	Se vlosuva koga ke legnam
SHARP_PAIN	It is a sharp pain	Bolkata e ostra
DULL_PAIN	It is a dull pain	Bolkata e tapa
SUDDEN_PAIN	The pain started suddenly	Bolkata zapocna odednas
GRADUAL_PAIN	The pain started gradually	Bolkata zapocna postepeno
KNOWN_PAIN	I have had this pain before	Ja imav ovaa bolka i prethodno
UNKNOWN_PAIN	I have never had this pain before	Nikogas ne sum ja imal/a ovaa bolka 
SUFFER_BLEEDING	I am bleeding	Krvaram
SUFFER_ICD10_R31	There is blood in my urine	Imam krv vo urinata
SUFFER_ICD10_K92	There is blood in my faeces	Imam krv vo stolicata
SUFFER_ICD10_K92	There is blood in my vomit	Povrakam krv
SUFFER_ICD10_R04.2	I am coughing up blood	Kaslam krv
SUFFER_ICD10_K62	I am bleeding from my anus	Krvaram od anusot
SUFFER_ICD10_R04.0	I have a nosebleed	Mi tece krv od nosot
SUFFER_ICD10_N93	I am bleeding between my periods	Krvaram megju menstruacii
SUFFER_ICD10_N95	My periods finished, but I am bleeding again	Seuste krvaram i posle menopauza
FMA_7154	head	glava
FMA_54448	eye	oko
FMA_52780	ear	uvo
FMA_49184	mouth	usta
FMA_24728	face	lice
FMA_7155	neck	grlo
FMA_25202	shoulder	ramo
FMA_24901	elbow	lakt
FMA_24964	hip	kolk
FMA_24974	knee	koleno
FMA_9665	ankle	zglob
FMA_9664	foot	stapalo
FMA_24890	arm	raka
FMA_24979	leg	noga
FMA_9712	hand	dlanka
FMA_9666	finger	prst
FMA_25046	toe	palec
FMA_9576	chest	gradi
FMA_9577	belly	abdomen
FMA_7088	heart	srce
FMA_7195	lung	bel drob
